,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full
STED-10,-1.0,0.9353,0.453,0.8774,0.0087,0.0077,0.0071,0.0073,0.0169,0.008,0.0006,0.0138,0.1016,0.289,0.0047,0.0062,0.0078,0.0079,0.0068,0.0078,0.0076,0.0043,0.0067,0.0079,0.0055
STED-25,0.9353,-1.0,0.4755,0.7217,0.0089,0.0087,0.0078,0.0079,0.009,0.0072,0.0005,0.0051,0.018,0.1366,0.0047,0.0082,0.0076,0.0067,0.009,0.0069,0.0075,0.0061,0.0069,0.0079,0.0085
STED-50,0.453,0.4755,-1.0,0.3566,0.0069,0.0061,0.0091,0.0303,0.0339,0.0043,0.02,0.0364,0.3801,0.9587,0.0027,0.0045,0.0039,0.0047,0.0056,0.0054,0.0069,0.0066,0.0085,0.0066,0.0081
STED-100,0.8774,0.7217,0.3566,-1.0,0.0091,0.007,0.008,0.007,0.0083,0.0063,0.0006,0.006,0.034,0.1461,0.0044,0.0066,0.0085,0.0067,0.007,0.0064,0.0077,0.0048,0.0076,0.0094,0.0094
STED-Full,0.0087,0.0089,0.0069,0.0091,-1.0,0.0084,0.0062,0.0078,0.008,0.008,0.0021,0.0048,0.0056,0.009,0.0086,0.0074,0.008,0.0078,0.0077,0.1041,0.0084,0.0054,0.0066,0.0084,0.007
SIM-10,0.0077,0.0087,0.0061,0.007,0.0084,-1.0,0.3058,0.0177,0.0166,0.0089,0.0248,0.0042,0.0088,0.0057,0.0044,0.0076,0.009,0.009,0.0084,0.0076,0.0068,0.0044,0.0067,0.0077,0.0075
SIM-25,0.0071,0.0078,0.0091,0.008,0.0062,0.3058,-1.0,0.0976,0.0383,0.0076,0.0611,0.0039,0.0075,0.0056,0.0051,0.0082,0.0093,0.0067,0.0076,0.0077,0.0089,0.0056,0.0086,0.0093,0.0081
SIM-50,0.0073,0.0079,0.0303,0.007,0.0078,0.0177,0.0976,-1.0,0.5857,0.0062,0.7143,0.3084,0.0085,0.0069,0.0065,0.0073,0.0071,0.0083,0.0081,0.0081,0.0037,0.0013,0.0019,0.0033,0.0021
SIM-100,0.0169,0.009,0.0339,0.0083,0.008,0.0166,0.0383,0.5857,-1.0,0.0069,0.8139,0.5967,0.022,0.0062,0.0047,0.0068,0.0066,0.0083,0.0076,0.0072,0.0072,0.0056,0.0078,0.0061,0.0089
SIM-Full,0.008,0.0072,0.0043,0.0063,0.008,0.0089,0.0076,0.0062,0.0069,-1.0,0.0011,0.006,0.0037,0.0076,0.0053,0.073,0.0061,0.0051,0.9735,0.0093,0.0078,0.005,0.0079,0.0081,0.0081
HPA-10,0.0006,0.0005,0.02,0.0006,0.0021,0.0248,0.0611,0.7143,0.8139,0.0011,-1.0,0.4692,0.0054,0.0007,0.0004,0.0009,0.0006,0.0014,0.0017,0.0022,0.0073,0.0088,0.0094,0.0076,0.0068
HPA-25,0.0138,0.0051,0.0364,0.006,0.0048,0.0042,0.0039,0.3084,0.5967,0.006,0.4692,-1.0,0.0231,0.0054,0.0055,0.0056,0.0054,0.0064,0.0074,0.0058,0.0043,0.0035,0.0051,0.0043,0.0045
HPA-50,0.1016,0.018,0.3801,0.034,0.0056,0.0088,0.0075,0.0085,0.022,0.0037,0.0054,0.0231,-1.0,0.178,0.0033,0.0035,0.004,0.0045,0.0044,0.0053,0.007,0.0088,0.0103,0.0061,0.0086
HPA-100,0.289,0.1366,0.9587,0.1461,0.009,0.0057,0.0056,0.0069,0.0062,0.0076,0.0007,0.0054,0.178,-1.0,0.0056,0.0059,0.0077,0.0069,0.0081,0.0069,0.0064,0.0056,0.0072,0.0079,0.007
HPA-Full,0.0047,0.0047,0.0027,0.0044,0.0086,0.0044,0.0051,0.0065,0.0047,0.0053,0.0004,0.0055,0.0033,0.0056,-1.0,0.0037,0.0042,0.0033,0.0051,0.0071,0.0046,0.0027,0.0046,0.0045,0.0055
JUMP-10,0.0062,0.0082,0.0045,0.0066,0.0074,0.0076,0.0082,0.0073,0.0068,0.073,0.0009,0.0056,0.0035,0.0059,0.0037,-1.0,0.1469,0.4052,0.2056,0.007,0.0083,0.0061,0.0075,0.0084,0.0075
