,0,1,2,3,4
STED-10,0.7633587786259542,0.7345860246623606,0.733998825601879,0.7416324133881386,0.7469172049324722
STED-25,0.733998825601879,0.726952436876101,0.6717557251908397,0.7469172049324722,0.7533763945977686
STED-50,0.741045214327657,0.7457428068115091,0.7428068115091015,0.6776277157956547,0.7240164415736935
STED-100,0.7011156782149148,0.7492660011743981,0.7527891955372872,0.7715795654726952,0.7662947739283618
STED-Full,0.9788608338226659,0.9700528479154433,0.9729888432178508,0.9741632413388138,0.9724016441573693
SIM-10,0.6641221374045801,0.6717557251908397,0.6741045214327657,0.6805637110980622,0.6746917204932472
SIM-25,0.6940692894891368,0.6576629477392836,0.6887844979448033,0.6600117439812097,0.6658837345860247
SIM-50,0.6911332941867293,0.6623605402231356,0.6459189665296535,0.7064004697592484,0.6605989430416911
SIM-100,0.7069876688197299,0.6688197298884322,0.7116852613035819,0.6823253082795068,0.6752789195537288
SIM-Full,0.914856136230182,0.908984145625367,0.9054609512624779,0.9083969465648855,0.9107457428068115
HPA-10,0.7052260716382853,0.6917204932472109,0.7093364650616559,0.7163828537874339,0.6741045214327657
HPA-25,0.6981796829125073,0.6782149148561363,0.7157956547269524,0.6870229007633588,0.635936582501468
HPA-50,0.6923076923076923,0.6306517909571344,0.6870229007633588,0.7134468584850264,0.6758661186142102
HPA-100,0.7263652378156195,0.7028772753963594,0.7069876688197299,0.6699941280093952,0.7181444509688785
HPA-Full,0.9119201409277745,0.9095713446858485,0.908984145625367,0.9072225484439225,0.9054609512624779
JUMP-10,0.6717557251908397,0.6858485026423957,0.6746917204932472,0.6964180857310628,0.6741045214327657
JUMP-25,0.6893716970052848,0.6999412800939518,0.6688197298884322,0.642982971227246,0.6376981796829125
JUMP-50,0.6934820904286553,0.623018203170875,0.6482677627715796,0.6758661186142102,0.6923076923076923
JUMP-100,0.6864357017028773,0.719906048150323,0.7040516735173223,0.6465061655901351,0.6676453317674692
JUMP-Full,0.8990017615971815,0.8890193775689958,0.8907809747504404,0.8931297709923665,0.8896065766294774
ImageNet-10,0.5572519083969466,0.541397533763946,0.5625366999412801,0.5337639459776864,0.5566647093364651
ImageNet-25,0.5002935995302408,0.49735760422783326,0.5073399882560188,0.5202583675866118,0.5173223722842043
ImageNet-50,0.5079271873165003,0.5091015854374633,0.5237815619495009,0.5261303581914268,0.49500880798590724
ImageNet-100,0.5179095713446858,0.4961832061068702,0.5038167938931297,0.5085143863769818,0.5114503816793893
ImageNet-Full,0.6975924838520259,0.6946564885496184,0.6993540810334703,0.708162066940693,0.7099236641221374
