,0,1,2,3,4
STED-10,0.7808857808857809,0.752913752913753,0.7878787878787878,0.7692307692307693,0.7622377622377622
STED-25,0.7948717948717948,0.8298368298368298,0.8135198135198135,0.8321678321678322,0.8484848484848485
STED-50,0.8391608391608392,0.8298368298368298,0.8088578088578089,0.7832167832167832,0.7878787878787878
STED-100,0.8275058275058275,0.8601398601398601,0.8368298368298368,0.8205128205128205,0.8321678321678322
STED-Full,0.8671328671328671,0.9067599067599068,0.9020979020979021,0.8927738927738927,0.8717948717948718
SIM-10,0.7692307692307693,0.7156177156177156,0.7622377622377622,0.7365967365967366,0.7599067599067599
SIM-25,0.8275058275058275,0.8508158508158508,0.8391608391608392,0.8554778554778555,0.8391608391608392
SIM-50,0.8298368298368298,0.7925407925407926,0.8438228438228438,0.8111888111888111,0.7855477855477856
SIM-100,0.8461538461538461,0.8321678321678322,0.8344988344988346,0.8391608391608392,0.8251748251748252
SIM-Full,0.8787878787878788,0.8764568764568764,0.8834498834498834,0.8834498834498834,0.8624708624708625
HPA-10,0.7575757575757576,0.7482517482517482,0.7995337995337995,0.696969696969697,0.7505827505827506
HPA-25,0.8717948717948718,0.7995337995337995,0.8321678321678322,0.8391608391608392,0.8205128205128205
HPA-50,0.8531468531468531,0.8461538461538461,0.8461538461538461,0.8741258741258742,0.8531468531468531
HPA-100,0.8298368298368298,0.8764568764568764,0.8228438228438228,0.8414918414918415,0.8578088578088578
HPA-Full,0.8857808857808858,0.8764568764568764,0.8741258741258742,0.8904428904428905,0.8997668997668997
JUMP-10,0.7668997668997669,0.7972027972027972,0.7948717948717948,0.7668997668997669,0.7622377622377622
JUMP-25,0.8671328671328671,0.8414918414918415,0.8531468531468531,0.8531468531468531,0.8321678321678322
JUMP-50,0.8508158508158508,0.8414918414918415,0.8578088578088578,0.8648018648018648,0.8787878787878788
JUMP-100,0.8648018648018648,0.8531468531468531,0.8671328671328671,0.8741258741258742,0.8834498834498834
JUMP-Full,0.9044289044289044,0.9114219114219114,0.8694638694638694,0.8787878787878788,0.8741258741258742
ImageNet-10,0.578088578088578,0.5571095571095571,0.5641025641025641,0.5710955710955711,0.5314685314685315
ImageNet-25,0.6503496503496503,0.585081585081585,0.6083916083916084,0.62004662004662,0.6386946386946387
ImageNet-50,0.668997668997669,0.668997668997669,0.6806526806526807,0.662004662004662,0.6666666666666666
ImageNet-100,0.7226107226107226,0.7482517482517482,0.7622377622377622,0.7482517482517482,0.752913752913753
ImageNet-Full,0.8135198135198135,0.8205128205128205,0.8158508158508159,0.8018648018648019,0.8181818181818182
from-scratch-10,0.5501165501165501,0.5151515151515151,0.5104895104895105,0.48951048951048953,0.5314685314685315
from-scratch-25,0.48717948717948717,0.48717948717948717,0.48951048951048953,0.48951048951048953,0.5151515151515151
from-scratch-50,0.49417249417249415,0.48951048951048953,0.48951048951048953,0.49417249417249415,0.46153846153846156
from-scratch-100,0.5361305361305362,0.48951048951048953,0.46153846153846156,0.4662004662004662,0.5710955710955711
from-scratch-Full,0.6596736596736597,0.7156177156177156,0.682983682983683,0.6806526806526807,0.6899766899766899
