,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
STED-10,-1.0,0.0069,0.0145,0.0037,0.004,0.1195,0.0026,0.008,0.0042,0.0007,0.3029,0.0042,0.0029,0.0055,0.0029,0.4957,0.001,0.0061,0.0033,0.0016,0.0081,0.0076,0.009,0.0403,0.0024,0.0094,0.0061,0.009,0.0075,0.0049
STED-25,0.0069,-1.0,0.3581,0.3216,0.0022,0.0063,0.1058,0.4377,0.2722,0.0017,0.0134,0.5755,0.0195,0.1327,0.003,0.0222,0.0366,0.0135,0.0049,0.0015,0.0082,0.0098,0.0089,0.008,0.3495,0.0072,0.007,0.0078,0.0082,0.0066
STED-50,0.0145,0.3581,-1.0,0.1128,0.0087,0.0061,0.0509,0.8263,0.0788,0.0044,0.0176,0.2021,0.008,0.0562,0.0079,0.0534,0.0116,0.0079,0.0079,0.0046,0.0077,0.006,0.0086,0.0062,0.7486,0.007,0.0028,0.0071,0.0038,0.0037
STED-100,0.0037,0.3216,0.1128,-1.0,0.0071,0.0079,0.439,0.1293,1.0,0.0029,0.0011,0.8888,0.0561,0.4207,0.0075,0.0078,0.1579,0.0449,0.0175,0.0038,0.0088,0.0092,0.0074,0.0063,0.0196,0.0058,0.0033,0.0077,0.0075,0.004
STED-Full,0.004,0.0022,0.0087,0.0071,-1.0,0.0092,0.0076,0.008,0.0063,0.2596,0.0014,0.0206,0.0226,0.0205,0.8078,0.0075,0.0166,0.0298,0.0826,1.0,0.0079,0.0085,0.009,0.008,0.0087,0.0076,0.0036,0.0088,0.0069,0.0047
SIM-10,0.1195,0.0063,0.0061,0.0079,0.0092,-1.0,0.009,0.0053,0.0071,0.0035,0.9687,0.0079,0.0068,0.0072,0.0067,0.0689,0.0023,0.0072,0.0075,0.0037,0.0068,0.0042,0.0067,0.887,0.007,0.0061,0.0024,0.0046,0.0051,0.0074
SIM-25,0.0026,0.1058,0.0509,0.439,0.0076,0.009,-1.0,0.0582,0.3044,0.0031,0.0004,0.478,0.1445,0.7851,0.007,0.0082,0.3612,0.0803,0.0167,0.0046,0.0082,0.0073,0.007,0.0083,0.0085,0.0093,0.0031,0.009,0.0077,0.0028
SIM-50,0.008,0.4377,0.8263,0.1293,0.008,0.0053,0.0582,-1.0,0.0991,0.0028,0.0166,0.2604,0.0074,0.0805,0.0079,0.0402,0.0196,0.0165,0.0103,0.0061,0.0069,0.0049,0.0038,0.0038,0.9382,0.0064,0.0023,0.0037,0.0037,0.0019
SIM-100,0.0042,0.2722,0.0788,1.0,0.0063,0.0071,0.3044,0.0991,-1.0,0.0025,0.0023,0.8234,0.0178,0.397,0.0041,0.0058,0.062,0.0157,0.0054,0.0029,0.0088,0.0084,0.0084,0.0094,0.0078,0.0085,0.0043,0.0074,0.0066,0.0054
SIM-Full,0.0007,0.0017,0.0044,0.0029,0.2596,0.0035,0.0031,0.0028,0.0025,-1.0,0.0004,0.01,0.0099,0.0096,0.243,0.004,0.0123,0.0474,0.2176,0.3012,0.0038,0.0024,0.0037,0.0024,0.0042,0.0038,0.0013,0.0043,0.0019,0.0016
