,0,1,2,3,4
STED-10,0.8727858293075684,0.8446054750402576,0.8582930756843801,0.8446054750402576,0.9170692431561996
STED-25,0.9299516908212561,0.9371980676328503,0.92914653784219,0.9186795491143317,0.9331723027375202
STED-50,0.928341384863124,0.9452495974235104,0.966183574879227,0.9637681159420289,0.9500805152979066
STED-100,0.9702093397745571,0.9734299516908212,0.9750402576489533,0.9694041867954911,0.9637681159420289
STED-Full,0.9903381642512077,0.9919484702093397,0.9863123993558777,0.9927536231884058,0.9887278582930756
SIM-10,0.8405797101449275,0.8526570048309179,0.855072463768116,0.8760064412238325,0.9194847020933977
SIM-25,0.9371980676328503,0.926731078904992,0.9130434782608695,0.928341384863124,0.928341384863124
SIM-50,0.9404186795491143,0.9428341384863124,0.9516908212560387,0.9460547504025765,0.9476650563607085
SIM-100,0.9726247987117552,0.966183574879227,0.9637681159420289,0.9629629629629629,0.9549114331723028
SIM-Full,0.9863123993558777,0.9911433172302737,0.9911433172302737,0.9871175523349437,0.9919484702093397
HPA-10,0.7987117552334944,0.785024154589372,0.822061191626409,0.7914653784219001,0.8067632850241546
HPA-25,0.9162640901771336,0.9106280193236715,0.8671497584541062,0.8985507246376812,0.9041867954911433
HPA-50,0.927536231884058,0.9412238325281803,0.9363929146537843,0.9355877616747182,0.9259259259259259
HPA-100,0.9130434782608695,0.961352657004831,0.9428341384863124,0.9500805152979066,0.9589371980676329
HPA-Full,0.9919484702093397,0.9895330112721417,0.9822866344605475,0.9887278582930756,0.9863123993558777
JUMP-10,0.8260869565217391,0.7592592592592593,0.7954911433172303,0.789049919484702,0.8582930756843801
JUMP-25,0.9162640901771336,0.9210950080515298,0.8824476650563607,0.9009661835748792,0.8888888888888888
JUMP-50,0.9404186795491143,0.928341384863124,0.9412238325281803,0.9388083735909822,0.9331723027375202
JUMP-100,0.9557165861513688,0.9533011272141707,0.9516908212560387,0.9573268921095008,0.9581320450885669
JUMP-Full,0.9919484702093397,0.9887278582930756,0.9863123993558777,0.9863123993558777,0.9871175523349437
ImageNet-10,0.9098228663446055,0.8478260869565217,0.8872785829307569,0.856682769726248,0.9235104669887279
ImageNet-25,0.9259259259259259,0.9210950080515298,0.9001610305958132,0.9170692431561996,0.9363929146537843
ImageNet-50,0.9315619967793881,0.9629629629629629,0.9726247987117552,0.9444444444444444,0.9508856682769726
ImageNet-100,0.9508856682769726,0.9766505636070854,0.9677938808373591,0.965378421900161,0.965378421900161
ImageNet-Full,0.9959742351046699,0.9959742351046699,0.9975845410628019,0.998389694041868,0.9935587761674718
from-scratch-10,0.537842190016103,0.5193236714975845,0.5394524959742351,0.48470209339774556,0.5748792270531401
from-scratch-25,0.644927536231884,0.6143317230273752,0.6095008051529791,0.5982286634460547,0.642512077294686
from-scratch-50,0.7254428341384863,0.6916264090177133,0.6666666666666666,0.642512077294686,0.7391304347826086
from-scratch-100,0.7342995169082126,0.7536231884057971,0.7552334943639292,0.7552334943639292,0.7874396135265701
from-scratch-Full,0.8872785829307569,0.8687600644122383,0.8832528180354268,0.8904991948470209,0.8655394524959742
