,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
STED-10,-1.0,0.0086,0.0072,0.0076,0.0074,0.9474,0.014,0.0069,0.0075,0.0063,0.0043,0.1066,0.006,0.0147,0.0076,0.0229,0.0737,0.0087,0.0084,0.0077,0.3879,0.0235,0.007,0.0075,0.0068,0.0071,0.0021,0.0021,0.0045,0.4546
STED-25,0.0086,-1.0,0.0391,0.0067,0.0079,0.0154,0.5671,0.0079,0.0086,0.011,0.0058,0.008,0.4276,0.1352,0.01,0.0037,0.0153,0.1392,0.0095,0.0069,0.0158,0.193,0.0223,0.0081,0.0077,0.0067,0.0023,0.002,0.0058,0.0076
STED-50,0.0072,0.0391,-1.0,0.0241,0.0081,0.0075,0.0304,0.5005,0.1224,0.0084,0.0063,0.0066,0.0498,0.6201,0.008,0.0035,0.0079,0.1074,0.6108,0.0084,0.0081,0.0155,0.8383,0.0873,0.0073,0.0077,0.0033,0.0025,0.004,0.0069
STED-100,0.0076,0.0067,0.0241,-1.0,0.0072,0.0085,0.0068,0.0072,0.1134,0.0085,0.0069,0.0079,0.0082,0.0054,0.0087,0.0039,0.0093,0.0075,0.0076,0.008,0.0088,0.0092,0.0437,0.3322,0.0102,0.005,0.002,0.001,0.0063,0.0081
STED-Full,0.0074,0.0079,0.0081,0.0072,-1.0,0.0098,0.0076,0.008,0.0074,0.8177,0.0057,0.0097,0.0068,0.0046,0.3206,0.0032,0.0082,0.0078,0.008,0.2881,0.0078,0.0085,0.009,0.0085,0.0087,0.0072,0.0032,0.0024,0.0058,0.0079
SIM-10,0.9474,0.0154,0.0075,0.0085,0.0098,-1.0,0.0194,0.0079,0.0073,0.0068,0.005,0.1185,0.0061,0.0162,0.0077,0.0248,0.0769,0.0074,0.0075,0.0074,0.423,0.0231,0.007,0.0085,0.0078,0.006,0.0019,0.001,0.0043,0.5308
SIM-25,0.014,0.5671,0.0304,0.0068,0.0076,0.0194,-1.0,0.0081,0.008,0.0073,0.0055,0.0167,0.2664,0.0968,0.0077,0.0027,0.0226,0.0621,0.0091,0.0081,0.0161,0.392,0.0131,0.009,0.0085,0.0088,0.0023,0.0031,0.0066,0.0064
SIM-50,0.0069,0.0079,0.5005,0.0072,0.008,0.0079,0.0081,-1.0,0.0075,0.0072,0.0056,0.0071,0.0143,0.9713,0.0084,0.0035,0.0065,0.0235,0.0165,0.0083,0.008,0.008,0.3815,0.0151,0.0069,0.0077,0.0033,0.0018,0.0044,0.0068
SIM-100,0.0075,0.0086,0.1224,0.1134,0.0074,0.0073,0.008,0.0075,-1.0,0.0078,0.0067,0.008,0.0085,0.0363,0.0078,0.0026,0.0078,0.009,0.0327,0.008,0.0087,0.0084,0.1765,0.8364,0.0073,0.0077,0.0034,0.0018,0.0056,0.0078
SIM-Full,0.0063,0.011,0.0084,0.0085,0.8177,0.0068,0.0073,0.0072,0.0078,-1.0,0.0057,0.0078,0.0071,0.0058,0.4722,0.0031,0.0073,0.0085,0.0074,0.4423,0.0071,0.0076,0.0088,0.0083,0.0085,0.0072,0.0017,0.0027,0.0058,0.0077
HPA-10,0.0043,0.0058,0.0063,0.0069,0.0057,0.005,0.0055,0.0056,0.0067,0.0057,-1.0,0.0063,0.0052,0.0061,0.0064,0.8056,0.0083,0.0063,0.0077,0.0072,0.0086,0.0048,0.0047,0.0062,0.0061,0.0076,0.0033,0.0033,0.0121,0.003
HPA-25,0.1066,0.008,0.0066,0.0079,0.0097,0.1185,0.0167,0.0071,0.008,0.0078,0.0063,-1.0,0.0069,0.0186,0.0081,0.0029,0.8277,0.007,0.0073,0.0068,0.398,0.0642,0.0064,0.0058,0.0072,0.0079,0.0029,0.0019,0.0052,0.0891
HPA-50,0.006,0.4276,0.0498,0.0082,0.0068,0.0061,0.2664,0.0143,0.0085,0.0071,0.0052,0.0069,-1.0,0.2289,0.0075,0.0026,0.0059,0.4595,0.0074,0.0073,0.0052,0.0854,0.0477,0.0068,0.0079,0.0057,0.0021,0.0015,0.0045,0.0065
HPA-100,0.0147,0.1352,0.6201,0.0054,0.0046,0.0162,0.0968,0.9713,0.0363,0.0058,0.0061,0.0186,0.2289,-1.0,0.0049,0.0032,0.0244,0.3672,0.3385,0.0064,0.0167,0.0543,0.5183,0.0428,0.0057,0.0087,0.0041,0.0024,0.0045,0.0066
HPA-Full,0.0076,0.01,0.008,0.0087,0.3206,0.0077,0.0077,0.0084,0.0078,0.4722,0.0064,0.0081,0.0075,0.0049,-1.0,0.0042,0.0084,0.0076,0.0085,0.9432,0.0081,0.0077,0.0087,0.0072,0.0072,0.0076,0.0027,0.0021,0.0052,0.0086
JUMP-10,0.0229,0.0037,0.0035,0.0039,0.0032,0.0248,0.0027,0.0035,0.0026,0.0031,0.8056,0.0029,0.0026,0.0032,0.0042,-1.0,0.0038,0.0035,0.0048,0.0048,0.0183,0.0042,0.0027,0.0034,0.0041,0.0072,0.0068,0.0038,0.0147,0.0018
JUMP-25,0.0737,0.0153,0.0079,0.0093,0.0082,0.0769,0.0226,0.0065,0.0078,0.0073,0.0083,0.8277,0.0059,0.0244,0.0084,0.0038,-1.0,0.0077,0.0072,0.0071,0.3362,0.1137,0.0068,0.0082,0.0079,0.0073,0.0029,0.0022,0.0041,0.055
JUMP-50,0.0087,0.1392,0.1074,0.0075,0.0078,0.0074,0.0621,0.0235,0.009,0.0085,0.0063,0.007,0.4595,0.3672,0.0076,0.0035,0.0077,-1.0,0.0071,0.0092,0.0077,0.0306,0.0649,0.0084,0.0093,0.0085,0.0029,0.0026,0.0053,0.0078
JUMP-100,0.0084,0.0095,0.6108,0.0076,0.008,0.0075,0.0091,0.0165,0.0327,0.0074,0.0077,0.0073,0.0074,0.3385,0.0085,0.0048,0.0072,0.0071,-1.0,0.0074,0.0074,0.0079,0.7492,0.0461,0.0085,0.0093,0.0032,0.0028,0.0072,0.0071
JUMP-Full,0.0077,0.0069,0.0084,0.008,0.2881,0.0074,0.0081,0.0083,0.008,0.4423,0.0072,0.0068,0.0073,0.0064,0.9432,0.0048,0.0071,0.0092,0.0074,-1.0,0.0082,0.0072,0.0088,0.0069,0.0061,0.0079,0.0038,0.0031,0.0045,0.0066
ImageNet-10,0.3879,0.0158,0.0081,0.0088,0.0078,0.423,0.0161,0.008,0.0087,0.0071,0.0086,0.398,0.0052,0.0167,0.0081,0.0183,0.3362,0.0077,0.0074,0.0082,-1.0,0.0606,0.0046,0.0088,0.0075,0.007,0.0031,0.0025,0.0057,0.6875
ImageNet-25,0.0235,0.193,0.0155,0.0092,0.0085,0.0231,0.392,0.008,0.0084,0.0076,0.0048,0.0642,0.0854,0.0543,0.0077,0.0042,0.1137,0.0306,0.0079,0.0072,0.0606,-1.0,0.0149,0.0085,0.0073,0.0059,0.0016,0.0022,0.0046,0.0084
ImageNet-50,0.007,0.0223,0.8383,0.0437,0.009,0.007,0.0131,0.3815,0.1765,0.0088,0.0047,0.0064,0.0477,0.5183,0.0087,0.0027,0.0068,0.0649,0.7492,0.0088,0.0046,0.0149,-1.0,0.1705,0.0083,0.0055,0.0011,0.0017,0.0042,0.0078
ImageNet-100,0.0075,0.0081,0.0873,0.3322,0.0085,0.0085,0.009,0.0151,0.8364,0.0083,0.0062,0.0058,0.0068,0.0428,0.0072,0.0034,0.0082,0.0084,0.0461,0.0069,0.0088,0.0085,0.1705,-1.0,0.0069,0.0084,0.0021,0.002,0.0058,0.0061
ImageNet-Full,0.0068,0.0077,0.0073,0.0102,0.0087,0.0078,0.0085,0.0069,0.0073,0.0085,0.0061,0.0072,0.0079,0.0057,0.0072,0.0041,0.0079,0.0093,0.0085,0.0061,0.0075,0.0073,0.0083,0.0069,-1.0,0.0078,0.0012,0.0019,0.0058,0.008
from-scratch-10,0.0071,0.0067,0.0077,0.005,0.0072,0.006,0.0088,0.0077,0.0077,0.0072,0.0076,0.0079,0.0057,0.0087,0.0076,0.0072,0.0073,0.0085,0.0093,0.0079,0.007,0.0059,0.0055,0.0084,0.0078,-1.0,0.0075,0.0069,0.0078,0.0034
from-scratch-25,0.0021,0.0023,0.0033,0.002,0.0032,0.0019,0.0023,0.0033,0.0034,0.0017,0.0033,0.0029,0.0021,0.0041,0.0027,0.0068,0.0029,0.0029,0.0032,0.0038,0.0031,0.0016,0.0011,0.0021,0.0012,0.0075,-1.0,0.0217,0.0045,0.0012
from-scratch-50,0.0021,0.002,0.0025,0.001,0.0024,0.001,0.0031,0.0018,0.0018,0.0027,0.0033,0.0019,0.0015,0.0024,0.0021,0.0038,0.0022,0.0026,0.0028,0.0031,0.0025,0.0022,0.0017,0.002,0.0019,0.0069,0.0217,-1.0,0.0114,0.0007
from-scratch-100,0.0045,0.0058,0.004,0.0063,0.0058,0.0043,0.0066,0.0044,0.0056,0.0058,0.0121,0.0052,0.0045,0.0045,0.0052,0.0147,0.0041,0.0053,0.0072,0.0045,0.0057,0.0046,0.0042,0.0058,0.0058,0.0078,0.0045,0.0114,-1.0,0.0032
from-scratch-Full,0.4546,0.0076,0.0069,0.0081,0.0079,0.5308,0.0064,0.0068,0.0078,0.0077,0.003,0.0891,0.0065,0.0066,0.0086,0.0018,0.055,0.0078,0.0071,0.0066,0.6875,0.0084,0.0078,0.0061,0.008,0.0034,0.0012,0.0007,0.0032,-1.0
