,0,1,2,3,4
STED-10,0.7600644122383253,0.7914653784219001,0.7971014492753623,0.822061191626409,0.7761674718196457
STED-25,0.8840579710144928,0.8913043478260869,0.8711755233494364,0.9057971014492754,0.895330112721417
STED-50,0.892914653784219,0.9194847020933977,0.927536231884058,0.895330112721417,0.9001610305958132
STED-100,0.894524959742351,0.9066022544283414,0.8760064412238325,0.9243156199677939,0.9202898550724637
STED-Full,0.9508856682769726,0.9589371980676329,0.9565217391304348,0.9533011272141707,0.9524959742351047
SIM-10,0.7874396135265701,0.8164251207729468,0.8518518518518519,0.8260869565217391,0.8341384863123994
SIM-25,0.8800322061191627,0.9066022544283414,0.8840579710144928,0.8904991948470209,0.8985507246376812
SIM-50,0.9001610305958132,0.9025764895330113,0.9098228663446055,0.9009661835748792,0.9380032206119162
SIM-100,0.9106280193236715,0.9355877616747182,0.9033816425120773,0.9017713365539453,0.9009661835748792
SIM-Full,0.9694041867954911,0.9734299516908212,0.9597423510466989,0.9637681159420289,0.9677938808373591
HPA-10,0.7544283413848631,0.6972624798711755,0.7689210950080515,0.782608695652174,0.677938808373591
HPA-25,0.8317230273752013,0.8599033816425121,0.8067632850241546,0.8389694041867954,0.8478260869565217
HPA-50,0.8051529790660226,0.8663446054750402,0.8357487922705314,0.8856682769726248,0.8518518518518519
HPA-100,0.8494363929146538,0.8373590982286635,0.8188405797101449,0.856682769726248,0.8526570048309179
HPA-Full,0.9146537842190016,0.9170692431561996,0.9146537842190016,0.9114331723027376,0.9122383252818036
JUMP-10,0.7713365539452496,0.7125603864734299,0.7367149758454107,0.788244766505636,0.7061191626409018
JUMP-25,0.822866344605475,0.821256038647343,0.8164251207729468,0.8413848631239935,0.8647342995169082
JUMP-50,0.8276972624798712,0.8639291465378421,0.8421900161030595,0.857487922705314,0.8590982286634461
JUMP-100,0.8695652173913043,0.8526570048309179,0.8454106280193237,0.8317230273752013,0.8534621578099839
JUMP-Full,0.9355877616747182,0.9420289855072463,0.9355877616747182,0.9388083735909822,0.9428341384863124
ImageNet-10,0.8180354267310789,0.8107890499194848,0.857487922705314,0.7922705314009661,0.8285024154589372
ImageNet-25,0.8735909822866345,0.857487922705314,0.8663446054750402,0.8687600644122383,0.8768115942028986
ImageNet-50,0.8808373590982287,0.9009661835748792,0.8977455716586151,0.8969404186795491,0.893719806763285
ImageNet-100,0.8703703703703703,0.8800322061191627,0.8888888888888888,0.8752012882447665,0.8711755233494364
ImageNet-Full,0.9508856682769726,0.9524959742351047,0.9533011272141707,0.9484702093397746,0.9533011272141707
