,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full
STED-10,-1.0,0.0064,0.0085,0.0075,0.0082,0.0707,0.0071,0.0077,0.0084,0.009,0.0468,0.0184,0.0129,0.0151,0.0085,0.0524,0.0236,0.0083,0.0062,0.007,0.0671,0.0073,0.0073,0.0048,0.0063
STED-25,0.0064,-1.0,0.1079,0.2061,0.0079,0.0087,0.776,0.0381,0.0318,0.0075,0.006,0.0076,0.0221,0.0051,0.008,0.0082,0.0076,0.0061,0.009,0.0056,0.0075,0.0232,0.548,0.1139,0.0086
STED-50,0.0085,0.1079,-1.0,0.8311,0.0076,0.0062,0.1306,0.7838,0.7646,0.007,0.0075,0.0068,0.008,0.0045,0.3439,0.0076,0.0069,0.0059,0.0078,0.0064,0.0071,0.0072,0.1968,0.0068,0.0085
STED-100,0.0075,0.2061,0.8311,-1.0,0.0039,0.007,0.2768,0.6025,0.5953,0.0022,0.0068,0.0084,0.0162,0.0076,0.3617,0.0066,0.0085,0.0065,0.007,0.0026,0.0077,0.0148,0.3042,0.0247,0.0045
STED-Full,0.0082,0.0079,0.0076,0.0039,-1.0,0.0078,0.0051,0.0069,0.0074,0.008,0.0063,0.0058,0.0071,0.0054,0.0056,0.0068,0.0077,0.0072,0.0075,0.0071,0.0078,0.0066,0.0061,0.0083,0.2005
SIM-10,0.0707,0.0087,0.0062,0.007,0.0078,-1.0,0.0074,0.0074,0.0083,0.0094,0.0063,0.3436,0.1765,0.1497,0.0066,0.0122,0.5025,0.0586,0.065,0.0065,0.9099,0.0068,0.0077,0.0034,0.0089
SIM-25,0.0071,0.776,0.1306,0.2768,0.0051,0.0074,-1.0,0.0573,0.0566,0.0083,0.0079,0.0067,0.0245,0.0039,0.0074,0.0082,0.0093,0.0061,0.0076,0.0064,0.0089,0.0072,0.743,0.0476,0.0084
SIM-50,0.0077,0.0381,0.7838,0.6025,0.0069,0.0074,0.0573,-1.0,1.0,0.0064,0.0063,0.0066,0.0085,0.0039,0.6868,0.0073,0.0071,0.0078,0.0081,0.0235,0.0087,0.0075,0.0257,0.0083,0.008
SIM-100,0.0084,0.0318,0.7646,0.5953,0.0074,0.0083,0.0566,1.0,-1.0,0.0077,0.0082,0.0059,0.0076,0.0044,0.6642,0.0068,0.0066,0.0074,0.0076,0.0202,0.0072,0.0071,0.0155,0.0061,0.0091
SIM-Full,0.009,0.0075,0.007,0.0022,0.008,0.0094,0.0083,0.0064,0.0077,-1.0,0.007,0.0077,0.0081,0.0048,0.0061,0.0106,0.0064,0.0059,0.008,0.0093,0.0082,0.0081,0.0091,0.0087,0.0078
