,0,1,2,3,4
STED-10,0.12559913098812103,0.11801531910896301,0.12286387383937836,0.12059183418750763,0.1255796104669571
STED-25,0.12899574637413025,0.13748899102210999,0.14725807309150696,0.13639651238918304,0.13946464657783508
STED-50,0.1665041595697403,0.17444051802158356,0.16461913287639618,0.18359200656414032,0.1596132218837738
STED-100,0.20464278757572174,0.21203947067260742,0.19935186207294464,0.20721688866615295,0.18109606206417084
STED-Full,0.29025694727897644,0.2889125943183899,0.2949921488761902,0.2735759913921356,0.28622615337371826
SIM-10,0.11439473181962967,0.11363904178142548,0.11269517242908478,0.1151292696595192,0.11346355825662613
SIM-25,0.13531678915023804,0.13129395246505737,0.13676896691322327,0.13783131539821625,0.12790291011333466
SIM-50,0.1554669588804245,0.15822240710258484,0.15831683576107025,0.15881238877773285,0.15583683550357819
SIM-100,0.18666455149650574,0.18699468672275543,0.19317707419395447,0.190155029296875,0.1891627460718155
SIM-Full,0.28013044595718384,0.2853381037712097,0.29310867190361023,0.29292529821395874,0.28407639265060425
HPA-10,0.12643477320671082,0.13913843035697937,0.1254619061946869,0.1330723762512207,0.118431456387043
HPA-25,0.15276402235031128,0.15046387910842896,0.16444507241249084,0.15036378800868988,0.14615462720394135
HPA-50,0.16561216115951538,0.19108478724956512,0.18517526984214783,0.19481228291988373,0.16469022631645203
HPA-100,0.23088155686855316,0.2181670367717743,0.22483333945274353,0.2288462370634079,0.21668323874473572
HPA-Full,0.2938689887523651,0.3015919327735901,0.29835981130599976,0.3092041313648224,0.29404640197753906
JUMP-10,0.12139471620321274,0.12768328189849854,0.11740904301404953,0.10419705510139465,0.11847229301929474
JUMP-25,0.12829966843128204,0.13300710916519165,0.144669309258461,0.13740849494934082,0.13385449349880219
JUMP-50,0.15660975873470306,0.17831546068191528,0.15815308690071106,0.1783936619758606,0.16546736657619476
JUMP-100,0.20271021127700806,0.20882701873779297,0.20789729058742523,0.20816701650619507,0.19688118994235992
JUMP-Full,0.2682802081108093,0.2761465907096863,0.2657022476196289,0.2720679044723511,0.26413318514823914
ImageNet-10,0.10550553351640701,0.11026518046855927,0.10474634915590286,0.11098729074001312,0.10865151882171631
ImageNet-25,0.11384180188179016,0.11675842851400375,0.1135730892419815,0.11160635948181152,0.10891377180814743
ImageNet-50,0.13100092113018036,0.12144431471824646,0.12404218316078186,0.12673738598823547,0.12545539438724518
ImageNet-100,0.1392446607351303,0.15315581858158112,0.14508911967277527,0.14188534021377563,0.15614263713359833
ImageNet-Full,0.17890363931655884,0.19976602494716644,0.18736974895000458,0.20229442417621613,0.17486891150474548
from-scratch-10,0.0885355994105339,0.08738367259502411,0.07188821583986282,0.052664246410131454,0.09752646833658218
from-scratch-25,0.07215245068073273,0.08680450171232224,0.07518187910318375,0.08115271478891373,0.08651599287986755
from-scratch-50,0.1168297827243805,0.10338853299617767,0.0941358283162117,0.09932662546634674,0.09373156726360321
from-scratch-100,0.12429365515708923,0.09285511076450348,0.0683283656835556,0.09438788145780563,0.08855381608009338
from-scratch-Full,0.09188274294137955,0.1742851883172989,0.17438414692878723,0.33890628814697266,0.35986775159835815
