,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
STED-10,-1.0,0.0086,0.0072,0.0076,0.0074,0.0084,0.0067,0.0073,0.0075,0.0063,0.1542,0.0067,0.0064,0.0067,0.0076,0.3261,0.0076,0.0087,0.0084,0.0077,0.0081,0.0076,0.1921,0.0075,0.0068,0.0094,0.0077,0.009,0.0315,0.0498
STED-25,0.0086,-1.0,0.0081,0.0067,0.0079,0.0065,0.2589,0.0094,0.0086,0.011,0.0698,0.015,0.0088,0.0091,0.01,0.0079,0.5618,0.0078,0.0095,0.0069,0.0082,0.0098,0.0179,0.0796,0.0077,0.0072,0.0081,0.0078,0.0086,0.1927
STED-50,0.0072,0.0081,-1.0,0.0166,0.0087,0.0075,0.0067,0.0091,0.0089,0.0089,0.0075,0.0144,0.1962,0.0083,0.0084,0.0073,0.0079,0.7029,0.0079,0.009,0.0082,0.0066,0.0094,0.0078,0.0324,0.008,0.0083,0.008,0.0066,0.331
STED-100,0.0076,0.0067,0.0166,-1.0,0.0072,0.0085,0.0068,0.0072,0.0635,0.0085,0.0082,0.0079,0.0493,0.0072,0.0087,0.0078,0.0093,0.0075,0.5979,0.008,0.0088,0.0092,0.0074,0.0068,0.1457,0.0058,0.0073,0.0077,0.0096,0.5597
STED-Full,0.0074,0.0079,0.0087,0.0072,-1.0,0.0098,0.0076,0.008,0.0075,0.9601,0.0075,0.0097,0.0068,0.0065,0.0219,0.0075,0.0082,0.0078,0.0086,0.0161,0.0079,0.0085,0.009,0.0085,0.0087,0.0076,0.0074,0.0088,0.0082,0.3121
SIM-10,0.0084,0.0065,0.0075,0.0085,0.0098,-1.0,0.0094,0.0085,0.0073,0.0068,0.0079,0.0082,0.007,0.0072,0.0077,0.3652,0.0082,0.0074,0.0075,0.0074,0.0075,0.5272,0.0086,0.0085,0.0078,0.0077,0.0089,0.046,0.0499,0.0492
SIM-25,0.0067,0.2589,0.0067,0.0068,0.0076,0.0094,-1.0,0.0093,0.008,0.0073,0.2184,0.0071,0.0079,0.0073,0.0077,0.0082,0.6483,0.0079,0.0091,0.0081,0.0082,0.0073,0.0153,0.009,0.0085,0.0093,0.0082,0.009,0.0095,0.1386
SIM-50,0.0073,0.0094,0.0091,0.0072,0.008,0.0085,0.0093,-1.0,0.0075,0.0072,0.0084,0.2457,0.0074,0.009,0.0084,0.0087,0.0072,0.0829,0.0103,0.0083,0.0091,0.0087,0.007,0.0232,0.0069,0.0085,0.0095,0.0074,0.0073,0.287
SIM-100,0.0075,0.0086,0.0089,0.0635,0.0075,0.0073,0.008,0.0075,-1.0,0.0081,0.0078,0.008,0.3153,0.0076,0.008,0.0058,0.0078,0.009,0.0069,0.0086,0.0088,0.0084,0.0084,0.0099,0.8953,0.0085,0.0081,0.0074,0.0079,0.4415
SIM-Full,0.0063,0.011,0.0089,0.0085,0.9601,0.0068,0.0073,0.0072,0.0081,-1.0,0.0071,0.0078,0.0071,0.0083,0.0088,0.008,0.0073,0.0085,0.0084,0.0087,0.0071,0.0076,0.0088,0.0083,0.0085,0.0077,0.0067,0.0098,0.0081,0.3278
HPA-10,0.1542,0.0698,0.0075,0.0082,0.0075,0.0079,0.2184,0.0084,0.0078,0.0071,-1.0,0.0079,0.0083,0.0078,0.0082,0.0941,0.1534,0.0079,0.0094,0.0084,0.01,0.0062,0.4992,0.0081,0.0074,0.008,0.0072,0.009,0.0182,0.062
HPA-25,0.0067,0.015,0.0144,0.0079,0.0097,0.0082,0.0071,0.2457,0.008,0.0078,0.0079,-1.0,0.0082,0.0087,0.0081,0.0081,0.0075,0.0443,0.0073,0.0068,0.0091,0.0088,0.0086,0.2487,0.0072,0.0081,0.0085,0.0086,0.0067,0.2914
HPA-50,0.0064,0.0088,0.1962,0.0493,0.0068,0.007,0.0079,0.0074,0.3153,0.0071,0.0083,0.0082,-1.0,0.0084,0.0075,0.0076,0.0069,0.1509,0.0074,0.0073,0.0062,0.0104,0.0083,0.0068,0.3284,0.0079,0.007,0.0083,0.0083,0.402
HPA-100,0.0067,0.0091,0.0083,0.0072,0.0065,0.0072,0.0073,0.009,0.0076,0.0083,0.0078,0.0087,0.0084,-1.0,0.0071,0.006,0.0066,0.0083,0.0096,0.0082,0.0088,0.0088,0.0085,0.0069,0.0084,0.0088,0.0086,0.0076,0.0079,0.9412
HPA-Full,0.0076,0.01,0.0084,0.0087,0.0219,0.0077,0.0077,0.0084,0.008,0.0088,0.0082,0.0081,0.0075,0.0071,-1.0,0.0091,0.0084,0.0076,0.0092,0.0081,0.0083,0.0077,0.0087,0.0072,0.0072,0.0086,0.0076,0.0076,0.0081,0.164
JUMP-10,0.3261,0.0079,0.0073,0.0078,0.0075,0.3652,0.0082,0.0087,0.0058,0.008,0.0941,0.0081,0.0076,0.006,0.0091,-1.0,0.0083,0.0079,0.0084,0.0087,0.0498,0.2628,0.0752,0.0081,0.0069,0.0074,0.0102,0.0161,0.0408,0.0486
JUMP-25,0.0076,0.5618,0.0079,0.0093,0.0082,0.0082,0.6483,0.0072,0.0078,0.0073,0.1534,0.0075,0.0069,0.0066,0.0084,0.0083,-1.0,0.0077,0.0072,0.0071,0.0085,0.0087,0.0168,0.0357,0.0079,0.0075,0.0087,0.0078,0.0065,0.1513
JUMP-50,0.0087,0.0078,0.7029,0.0075,0.0078,0.0074,0.0079,0.0829,0.009,0.0085,0.0079,0.0443,0.1509,0.0083,0.0076,0.0079,0.0077,-1.0,0.0071,0.0092,0.0078,0.0077,0.0087,0.0084,0.0315,0.0089,0.0072,0.0087,0.0088,0.3273
JUMP-100,0.0084,0.0095,0.0079,0.5979,0.0086,0.0075,0.0091,0.0103,0.0069,0.0084,0.0094,0.0073,0.0074,0.0096,0.0092,0.0084,0.0072,0.0071,-1.0,0.008,0.0075,0.0079,0.0078,0.0071,0.0307,0.0096,0.0088,0.009,0.0095,0.6776
JUMP-Full,0.0077,0.0069,0.009,0.008,0.0161,0.0074,0.0081,0.0083,0.0086,0.0087,0.0084,0.0068,0.0073,0.0082,0.0081,0.0087,0.0071,0.0092,0.008,-1.0,0.0083,0.0072,0.0088,0.0069,0.008,0.0084,0.0072,0.0074,0.0069,0.3713
ImageNet-10,0.0081,0.0082,0.0082,0.0088,0.0079,0.0075,0.0082,0.0091,0.0088,0.0071,0.01,0.0091,0.0062,0.0088,0.0083,0.0498,0.0085,0.0078,0.0075,0.0083,-1.0,0.0339,0.006,0.009,0.0077,0.0075,0.008,0.1927,0.1699,0.0508
ImageNet-25,0.0076,0.0098,0.0066,0.0092,0.0085,0.5272,0.0073,0.0087,0.0084,0.0076,0.0062,0.0088,0.0104,0.0088,0.0077,0.2628,0.0087,0.0077,0.0079,0.0072,0.0339,-1.0,0.0083,0.0085,0.0073,0.0068,0.006,0.0461,0.0484,0.0438
ImageNet-50,0.1921,0.0179,0.0094,0.0074,0.009,0.0086,0.0153,0.007,0.0084,0.0088,0.4992,0.0086,0.0083,0.0085,0.0087,0.0752,0.0168,0.0087,0.0078,0.0088,0.006,0.0083,-1.0,0.0065,0.0083,0.0078,0.007,0.0072,0.0232,0.0501
