,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full
STED-10,-1.0,0.0064,0.0085,0.0075,0.0591,0.0078,0.0071,0.0077,0.0084,0.009,0.4185,0.0093,0.0072,0.0071,0.0943,0.0066,0.0082,0.0083,0.0072,0.0078,0.008,0.0073,0.0073,0.008,0.0063
STED-25,0.0064,-1.0,0.1034,0.4917,0.0089,0.1921,0.0078,0.0079,0.009,0.0075,0.0069,0.0161,0.0495,0.0068,0.008,0.4049,0.0076,0.0067,0.009,0.0069,0.0075,0.0079,0.0069,0.0079,0.0086
STED-50,0.0085,0.1034,-1.0,0.0503,0.0086,0.0135,0.0091,0.0084,0.0081,0.1144,0.0085,0.007,0.008,0.0071,0.0064,0.0301,0.0069,0.0065,0.0078,0.8449,0.0071,0.0077,0.0086,0.0068,0.0085
STED-100,0.0075,0.4917,0.0503,-1.0,0.0091,0.634,0.008,0.007,0.0083,0.0069,0.0073,0.063,0.171,0.0085,0.0077,0.8467,0.0085,0.0067,0.007,0.0064,0.0077,0.0071,0.0076,0.0094,0.0097
STED-Full,0.0591,0.0089,0.0086,0.0091,-1.0,0.0084,0.0062,0.0078,0.008,0.008,0.0233,0.016,0.0074,0.3654,0.0086,0.0074,0.008,0.0086,0.0078,0.0081,0.0084,0.0075,0.0066,0.0084,0.0072
SIM-10,0.0078,0.1921,0.0135,0.634,0.0084,-1.0,0.0074,0.0074,0.0083,0.0094,0.0086,0.0853,0.3438,0.0065,0.0066,0.7216,0.009,0.009,0.0084,0.0076,0.0075,0.0068,0.0077,0.0081,0.0089
SIM-25,0.0071,0.0078,0.0091,0.008,0.0062,0.0074,-1.0,0.0321,0.0069,0.0083,0.0085,0.0073,0.0075,0.0069,0.0074,0.0082,0.5369,0.096,0.3486,0.0077,0.0089,0.0077,0.0086,0.0093,0.0084
SIM-50,0.0077,0.0079,0.0084,0.007,0.0078,0.0074,0.0321,-1.0,0.1769,0.0064,0.0069,0.0067,0.0085,0.0074,0.0074,0.0073,0.0473,0.179,0.0543,0.0081,0.0413,0.008,0.0084,0.0083,0.008
SIM-100,0.0084,0.009,0.0081,0.0083,0.008,0.0083,0.0069,0.1769,-1.0,0.0077,0.0089,0.0062,0.0076,0.007,0.0078,0.0068,0.1013,0.7159,0.1002,0.0072,0.0072,0.0074,0.0078,0.0061,0.0091
SIM-Full,0.009,0.0075,0.1144,0.0069,0.008,0.0094,0.0083,0.0064,0.0077,-1.0,0.0074,0.0077,0.0081,0.0083,0.0086,0.0106,0.0146,0.0066,0.008,0.0093,0.0082,0.0082,0.0091,0.0087,0.0086
HPA-10,0.4185,0.0069,0.0085,0.0073,0.0233,0.0086,0.0085,0.0069,0.0089,0.0074,-1.0,0.0092,0.0092,0.0072,0.4105,0.0085,0.0069,0.0091,0.0068,0.0079,0.0073,0.0088,0.0094,0.0076,0.0068
HPA-25,0.0093,0.0161,0.007,0.063,0.016,0.0853,0.0073,0.0067,0.0062,0.0077,0.0092,-1.0,0.2942,0.0314,0.0089,0.0891,0.0072,0.0084,0.0095,0.0076,0.0084,0.0073,0.0074,0.0074,0.0082
HPA-50,0.0072,0.0495,0.008,0.171,0.0074,0.3438,0.0075,0.0085,0.0076,0.0081,0.0092,0.2942,-1.0,0.0091,0.0085,0.2045,0.0074,0.0088,0.0078,0.0074,0.007,0.0098,0.0103,0.0061,0.009
HPA-100,0.0071,0.0068,0.0071,0.0085,0.3654,0.0065,0.0069,0.0074,0.007,0.0083,0.0072,0.0314,0.0091,-1.0,0.0086,0.0059,0.0077,0.0069,0.0081,0.0069,0.0073,0.0084,0.0084,0.0091,0.0078
HPA-Full,0.0943,0.008,0.0064,0.0077,0.0086,0.0066,0.0074,0.0074,0.0078,0.0086,0.4105,0.0089,0.0085,0.0086,-1.0,0.0059,0.0081,0.0078,0.0085,0.0071,0.0074,0.0069,0.0078,0.0081,0.0095
JUMP-10,0.0066,0.4049,0.0301,0.8467,0.0074,0.7216,0.0082,0.0073,0.0068,0.0106,0.0085,0.0891,0.2045,0.0059,0.0059,-1.0,0.0068,0.0071,0.0074,0.007,0.0083,0.0077,0.0075,0.0084,0.0078
