,0,1,2,3,4
STED-10,0.45625,0.44125,0.5225,0.515,0.48
STED-25,0.49,0.545,0.5425,0.5325,0.5125
STED-50,0.505,0.47625,0.48625,0.5725,0.5425
STED-100,0.5075,0.54625,0.57125,0.52125,0.55875
STED-Full,0.47625,0.54375,0.54125,0.52875,0.555
SIM-10,0.355,0.41375,0.34,0.3725,0.3575
SIM-25,0.42375,0.32,0.35125,0.37625,0.2925
SIM-50,0.3225,0.29375,0.28375,0.29375,0.30625
SIM-100,0.37375,0.34875,0.43625,0.3775,0.395
SIM-Full,0.3425,0.3325,0.34875,0.3525,0.4934210526315789
HPA-10,0.44125,0.435,0.42875,0.29,0.39125
HPA-25,0.35875,0.3425,0.35375,0.33875,0.1875
HPA-50,0.415,0.39625,0.24625,0.355,0.3725
HPA-100,0.40625,0.44125,0.305,0.32375,0.345
HPA-Full,0.435,0.35375,0.43,0.435,0.43
JUMP-10,0.3925,0.345,0.375,0.36125,0.2925
JUMP-25,0.34625,0.34375,0.435,0.29875,0.29375
JUMP-50,0.33,0.3725,0.36125,0.355,0.38375
JUMP-100,0.41375,0.3575,0.42,0.46125,0.31875
JUMP-Full,0.3775,0.4325,0.3425,0.405,0.425
ImageNet-10,0.37375,0.365,0.3275,0.34125,0.40375
ImageNet-25,0.275,0.2625,0.2525,0.40125,0.2575
ImageNet-50,0.315,0.42625,0.28,0.415,0.42875
ImageNet-100,0.23,0.46625,0.3725,0.39875,0.285
ImageNet-Full,0.225,0.3225,0.5285087719298246,0.24625,0.29125
from-scratch-10,0.24625,0.32375,0.235,0.2375,0.25375
from-scratch-25,0.2225,0.26875,0.27,0.29875,0.235
from-scratch-50,0.27625,0.27875,0.31625,0.28375,0.23
from-scratch-100,0.25875,0.24,0.22875,0.26,0.21375
from-scratch-Full,0.3125,0.355,0.28125,0.255,0.29625
