,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
STED-10,-1.0,0.0652,0.2123,0.0366,0.0568,0.0079,0.0061,0.0066,0.0024,0.0288,0.0128,0.006,0.0061,0.0132,0.0073,0.0072,0.0071,0.0036,0.0232,0.0072,0.0075,0.0075,0.0083,0.0225,0.0476,0.0069,0.0065,0.0034,0.0073,0.0059
STED-25,0.0652,-1.0,0.681,0.3229,0.8207,0.0016,0.0011,0.0015,0.0009,0.009,0.0017,0.002,0.0014,0.0016,0.0051,0.0015,0.0015,0.0005,0.0023,0.0009,0.0011,0.003,0.0017,0.0017,0.0185,0.0011,0.0015,0.001,0.0018,0.0012
STED-50,0.2123,0.681,-1.0,0.2621,0.5767,0.0075,0.0067,0.0089,0.0045,0.0242,0.0075,0.0066,0.008,0.0079,0.0084,0.0073,0.0079,0.0031,0.0072,0.009,0.0082,0.0066,0.0093,0.0072,0.0311,0.0062,0.0083,0.0043,0.0066,0.0069
STED-100,0.0366,0.3229,0.2621,-1.0,0.5676,0.0056,0.005,0.0055,0.0024,0.0063,0.007,0.005,0.0061,0.0041,0.0077,0.0058,0.0069,0.0016,0.0062,0.0066,0.007,0.007,0.0045,0.005,0.0218,0.003,0.0055,0.0018,0.0079,0.0059
STED-Full,0.0568,0.8207,0.5767,0.5676,-1.0,0.0084,0.0064,0.0065,0.0038,0.0148,0.0066,0.0087,0.0062,0.0055,0.0058,0.0067,0.0071,0.0044,0.0067,0.0063,0.0069,0.0073,0.0077,0.0073,0.0166,0.0049,0.0066,0.0042,0.0076,0.0067
SIM-10,0.0079,0.0016,0.0075,0.0056,0.0084,-1.0,0.5865,0.007,0.3728,0.9601,0.3712,0.1205,0.8279,0.8878,0.0534,0.5374,0.4356,0.6946,0.3593,0.1995,0.7793,0.0386,0.888,0.7085,0.4637,0.005,0.0071,0.0024,0.0068,0.0222
SIM-25,0.0061,0.0011,0.0067,0.005,0.0064,0.5865,-1.0,0.0708,0.2552,0.6234,0.2288,0.4617,0.928,0.7457,0.0483,0.9997,0.7846,0.7662,0.2565,0.1486,0.7388,0.1178,0.601,0.9647,0.6495,0.0219,0.0155,0.0104,0.0095,0.0905
SIM-50,0.0066,0.0015,0.0089,0.0055,0.0065,0.007,0.0708,-1.0,0.0075,0.007,0.041,0.7282,0.0836,0.0343,0.0043,0.0417,0.103,0.0078,0.0166,0.0035,0.0028,0.8163,0.1054,0.2677,0.9031,0.0544,0.0323,0.1497,0.0066,1.0
SIM-100,0.0024,0.0009,0.0045,0.0024,0.0038,0.3728,0.2552,0.0075,-1.0,0.742,0.7578,0.025,0.4974,0.4849,0.1784,0.1838,0.1997,0.1844,0.7831,0.6677,0.2673,0.0406,0.7045,0.4529,0.2986,0.0072,0.0081,0.0054,0.0079,0.0163
SIM-Full,0.0288,0.009,0.0242,0.0063,0.0148,0.9601,0.6234,0.007,0.742,-1.0,0.6149,0.4344,0.6943,0.8152,0.1734,0.682,0.4764,0.9146,0.5968,0.525,0.8674,0.0459,0.9795,0.6726,0.4325,0.005,0.0065,0.0033,0.0079,0.0355
HPA-10,0.0128,0.0017,0.0075,0.007,0.0066,0.3712,0.2288,0.041,0.7578,0.6149,-1.0,0.0879,0.3829,0.4243,0.6369,0.2458,0.2258,0.251,0.9493,0.9849,0.2944,0.024,0.6226,0.3626,0.2398,0.0136,0.0164,0.0121,0.0088,0.0305
HPA-25,0.006,0.002,0.0066,0.005,0.0087,0.1205,0.4617,0.7282,0.025,0.4344,0.0879,-1.0,0.4023,0.3105,0.0191,0.4044,0.5602,0.1411,0.0934,0.0227,0.1998,0.5268,0.2593,0.5362,0.9335,0.1735,0.1481,0.2846,0.0462,0.7181
HPA-50,0.0061,0.0014,0.008,0.0061,0.0062,0.8279,0.928,0.0836,0.4974,0.6943,0.3829,0.4023,-1.0,0.8729,0.0816,0.9,0.7548,0.9595,0.3505,0.3014,0.8977,0.1867,0.7324,0.8992,0.6172,0.0218,0.0269,0.035,0.0215,0.1398
HPA-100,0.0132,0.0016,0.0079,0.0041,0.0055,0.8878,0.7457,0.0343,0.4849,0.8152,0.4243,0.3105,0.8729,-1.0,0.0985,0.7383,0.5888,0.8986,0.3947,0.3182,0.9401,0.1018,0.8961,0.7933,0.5176,0.0215,0.0086,0.0124,0.0079,0.0776
HPA-Full,0.0073,0.0051,0.0084,0.0077,0.0058,0.0534,0.0483,0.0043,0.1784,0.1734,0.6369,0.0191,0.0816,0.0985,-1.0,0.0279,0.0378,0.0349,0.4562,0.3161,0.0286,0.0141,0.1692,0.2022,0.1078,0.0036,0.0051,0.0024,0.0043,0.0137
JUMP-10,0.0072,0.0015,0.0073,0.0058,0.0067,0.5374,0.9997,0.0417,0.1838,0.682,0.2458,0.4044,0.9,0.7383,0.0279,-1.0,0.7462,0.7592,0.2126,0.1058,0.6835,0.1222,0.5954,0.9459,0.6337,0.0149,0.0175,0.0117,0.0073,0.0739
JUMP-25,0.0071,0.0015,0.0079,0.0069,0.0071,0.4356,0.7846,0.103,0.1997,0.4764,0.2258,0.5602,0.7548,0.5888,0.0378,0.7462,-1.0,0.5814,0.1899,0.1484,0.5361,0.2189,0.4778,0.9078,0.7263,0.0223,0.024,0.0365,0.0065,0.2088
JUMP-50,0.0036,0.0005,0.0031,0.0016,0.0044,0.6946,0.7662,0.0078,0.1844,0.9146,0.251,0.1411,0.9595,0.8986,0.0349,0.7592,0.5814,-1.0,0.2469,0.088,0.9122,0.0462,0.6931,0.8461,0.5547,0.0079,0.0072,0.0067,0.0088,0.0228
JUMP-100,0.0232,0.0023,0.0072,0.0062,0.0067,0.3593,0.2565,0.0166,0.7831,0.5968,0.9493,0.0934,0.3505,0.3947,0.4562,0.2126,0.1899,0.2469,-1.0,0.931,0.3041,0.0293,0.604,0.395,0.2683,0.0149,0.0067,0.0027,0.0081,0.0125
JUMP-Full,0.0072,0.0009,0.009,0.0066,0.0063,0.1995,0.1486,0.0035,0.6677,0.525,0.9849,0.0227,0.3014,0.3182,0.3161,0.1058,0.1484,0.088,0.931,-1.0,0.127,0.0213,0.5082,0.3418,0.2268,0.0026,0.0024,0.0019,0.0031,0.0117
ImageNet-10,0.0075,0.0011,0.0082,0.007,0.0069,0.7793,0.7388,0.0028,0.2673,0.8674,0.2944,0.1998,0.8977,0.9401,0.0286,0.6835,0.5361,0.9122,0.3041,0.127,-1.0,0.0479,0.7553,0.7826,0.5234,0.0027,0.0027,0.0017,0.0039,0.0195
ImageNet-25,0.0075,0.003,0.0066,0.007,0.0073,0.0386,0.1178,0.8163,0.0406,0.0459,0.024,0.5268,0.1867,0.1018,0.0141,0.1222,0.2189,0.0462,0.0293,0.0213,0.0479,-1.0,0.055,0.3125,0.6376,0.4376,0.4409,0.7779,0.0489,0.7443
ImageNet-50,0.0083,0.0017,0.0093,0.0045,0.0077,0.888,0.601,0.1054,0.7045,0.9795,0.6226,0.2593,0.7324,0.8961,0.1692,0.5954,0.4778,0.6931,0.604,0.5082,0.7553,0.055,-1.0,0.6544,0.4636,0.0235,0.0155,0.0353,0.0078,0.085
ImageNet-100,0.0225,0.0017,0.0072,0.005,0.0073,0.7085,0.9647,0.2677,0.4529,0.6726,0.3626,0.5362,0.8992,0.7933,0.2022,0.9459,0.9078,0.8461,0.395,0.3418,0.7826,0.3125,0.6544,-1.0,0.702,0.0899,0.0842,0.1089,0.0381,0.3075
ImageNet-Full,0.0476,0.0185,0.0311,0.0218,0.0166,0.4637,0.6495,0.9031,0.2986,0.4325,0.2398,0.9335,0.6172,0.5176,0.1078,0.6337,0.7263,0.5547,0.2683,0.2268,0.5234,0.6376,0.4636,0.702,-1.0,0.3645,0.2991,0.5613,0.121,0.8354
from-scratch-10,0.0069,0.0011,0.0062,0.003,0.0049,0.005,0.0219,0.0544,0.0072,0.005,0.0136,0.1735,0.0218,0.0215,0.0036,0.0149,0.0223,0.0079,0.0149,0.0026,0.0027,0.4376,0.0235,0.0899,0.3645,-1.0,0.9987,0.4299,0.4122,0.1146
from-scratch-25,0.0065,0.0015,0.0083,0.0055,0.0066,0.0071,0.0155,0.0323,0.0081,0.0065,0.0164,0.1481,0.0269,0.0086,0.0051,0.0175,0.024,0.0072,0.0067,0.0024,0.0027,0.4409,0.0155,0.0842,0.2991,0.9987,-1.0,0.3802,0.2795,0.1138
from-scratch-50,0.0034,0.001,0.0043,0.0018,0.0042,0.0024,0.0104,0.1497,0.0054,0.0033,0.0121,0.2846,0.035,0.0124,0.0024,0.0117,0.0365,0.0067,0.0027,0.0019,0.0017,0.7779,0.0353,0.1089,0.5613,0.4299,0.3802,-1.0,0.0534,0.3213
from-scratch-100,0.0073,0.0018,0.0066,0.0079,0.0076,0.0068,0.0095,0.0066,0.0079,0.0079,0.0088,0.0462,0.0215,0.0079,0.0043,0.0073,0.0065,0.0088,0.0081,0.0031,0.0039,0.0489,0.0078,0.0381,0.121,0.4122,0.2795,0.0534,-1.0,0.0232
from-scratch-Full,0.0059,0.0012,0.0069,0.0059,0.0067,0.0222,0.0905,1.0,0.0163,0.0355,0.0305,0.7181,0.1398,0.0776,0.0137,0.0739,0.2088,0.0228,0.0125,0.0117,0.0195,0.7443,0.085,0.3075,0.8354,0.1146,0.1138,0.3213,0.0232,-1.0
