,0,1,2,3,4
STED-10,0.41625,0.4775,0.41875,0.43875,0.4175
STED-25,0.48125,0.38125,0.42625,0.40875,0.24
STED-50,0.51625,0.475,0.45625,0.4925,0.51
STED-100,0.48375,0.53375,0.5375,0.51125,0.475
STED-Full,0.45875,0.485,0.4075,0.47125,0.40875
SIM-10,0.33,0.32,0.32375,0.3,0.335
SIM-25,0.34375,0.33125,0.3275,0.2875,0.39
SIM-50,0.3225,0.40875,0.28125,0.30875,0.33625
SIM-100,0.36375,0.34875,0.33125,0.41625,0.37
SIM-Full,0.3275,0.31875,0.2875,0.40375,0.315
HPA-10,0.28375,0.2875,0.3475,0.29125,0.28
HPA-25,0.325,0.28625,0.22125,0.28625,0.27375
HPA-50,0.34,0.28,0.2525,0.34125,0.29625
HPA-100,0.22125,0.295,0.34125,0.25,0.24
HPA-Full,0.3225,0.1975,0.2525,0.2375,0.22125
JUMP-10,0.3,0.3875,0.23,0.25125,0.27125
JUMP-25,0.31625,0.40625,0.235,0.19125,0.2925
JUMP-50,0.30875,0.31875,0.19,0.19125,0.39375
JUMP-100,0.23625,0.3975,0.32625,0.3125,0.29125
JUMP-Full,0.315,0.37125,0.5153508771929824,0.2875,0.2075
ImageNet-10,0.28125,0.36625,0.30625,0.2425,0.3025
ImageNet-25,0.24,0.1825,0.215,0.27875,0.3325
ImageNet-50,0.2175,0.20125,0.2875,0.22,0.18625
ImageNet-100,0.22625,0.385,0.21875,0.29625,0.29125
ImageNet-Full,0.26,0.23,0.26,0.25625,0.265
