,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full
STED-10,-1.0,0.3524,0.0225,0.0133,0.5451,0.0011,0.006,0.0056,0.0129,0.0034,0.006,0.0033,0.0065,0.0053,0.0068,0.0053,0.0068,0.004,0.0057,0.0938,0.007,0.0059,0.0067,0.0077,0.0059
STED-25,0.3524,-1.0,0.0202,0.0138,0.2293,0.1513,0.2797,0.242,0.6396,0.2221,0.0722,0.0345,0.0912,0.041,0.0219,0.0915,0.1006,0.0945,0.1451,0.4595,0.1012,0.0264,0.011,0.0828,0.0406
STED-50,0.0225,0.0202,-1.0,0.2961,0.0589,0.0005,0.0053,0.0051,0.0038,0.0029,0.005,0.0016,0.0051,0.0041,0.0032,0.0042,0.0045,0.0025,0.0042,0.0326,0.0046,0.004,0.0052,0.004,0.0054
STED-100,0.0133,0.0138,0.2961,-1.0,0.0199,0.0005,0.006,0.0047,0.0053,0.0028,0.0052,0.0019,0.0066,0.0057,0.0058,0.0044,0.0056,0.0024,0.0051,0.0297,0.0057,0.0053,0.0057,0.0075,0.0071
STED-Full,0.5451,0.2293,0.0589,0.0199,-1.0,0.0055,0.0062,0.0233,0.0225,0.0073,0.0073,0.0045,0.0074,0.0088,0.0086,0.0073,0.008,0.0068,0.0076,0.095,0.0084,0.0068,0.0066,0.0084,0.0072
SIM-10,0.0011,0.1513,0.0005,0.0005,0.0055,-1.0,0.449,0.7523,0.0092,0.8166,0.1525,0.0292,0.3383,0.0791,0.0213,0.2833,0.3525,0.3148,0.7007,0.7435,0.3536,0.0352,0.0077,0.2494,0.0089
SIM-25,0.006,0.2797,0.0053,0.006,0.0062,0.449,-1.0,0.8434,0.2209,0.798,0.1328,0.0104,0.2322,0.0631,0.0121,0.1717,0.2683,0.2365,0.4611,0.9614,0.1854,0.0266,0.0111,0.1867,0.0072
SIM-50,0.0056,0.242,0.0051,0.0047,0.0233,0.7523,0.8434,-1.0,0.2194,0.9522,0.2202,0.0865,0.3456,0.0866,0.0314,0.244,0.3544,0.248,0.6096,0.922,0.3206,0.0461,0.0173,0.2153,0.008
SIM-100,0.0129,0.6396,0.0038,0.0053,0.0225,0.0092,0.2209,0.2194,-1.0,0.1821,0.0174,0.0021,0.0338,0.0139,0.0078,0.0455,0.093,0.0861,0.1157,0.6435,0.0295,0.016,0.0078,0.0476,0.0091
SIM-Full,0.0034,0.2221,0.0029,0.0028,0.0073,0.8166,0.798,0.9522,0.1821,-1.0,0.1862,0.0606,0.3332,0.0802,0.0318,0.2468,0.3479,0.2505,0.5834,0.9037,0.3201,0.0531,0.017,0.2103,0.0086
