,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
STED-10,-1.0,0.0086,0.007,0.0076,0.0074,0.0055,0.0139,0.5775,0.6309,0.4559,0.0046,0.6174,0.5743,0.0984,0.007,0.0033,0.9665,0.8582,0.2041,0.0305,0.0062,0.3873,0.0756,0.0039,0.0068,0.0083,0.0069,0.0074,0.0052,0.0016
STED-25,0.0086,-1.0,0.3809,0.0372,0.0079,0.0065,0.0074,0.0068,0.0128,0.0248,0.0081,0.008,0.0105,0.0822,0.9331,0.0059,0.0398,0.0432,0.0545,0.0379,0.0082,0.0098,0.3393,0.1617,0.0077,0.0072,0.0081,0.0078,0.0086,0.0033
STED-50,0.007,0.3809,-1.0,0.3857,0.0893,0.0073,0.0067,0.0068,0.0148,0.0176,0.0073,0.0065,0.0115,0.0379,0.4339,0.0051,0.0227,0.0275,0.0368,0.0247,0.0077,0.0064,0.1477,0.8742,0.2755,0.0078,0.0083,0.0076,0.0064,0.0036
STED-100,0.0076,0.0372,0.3857,-1.0,0.1295,0.0085,0.0068,0.0051,0.0054,0.0082,0.0082,0.0079,0.0033,0.0072,0.0403,0.0066,0.0092,0.007,0.0084,0.008,0.0088,0.0092,0.025,0.4619,0.4331,0.0058,0.0073,0.0077,0.0096,0.0059
STED-Full,0.0074,0.0079,0.0893,0.1295,-1.0,0.0098,0.0076,0.0075,0.0064,0.0087,0.0075,0.0097,0.0057,0.0065,0.0064,0.0071,0.008,0.0074,0.0086,0.0073,0.0079,0.0085,0.009,0.0085,0.4048,0.0076,0.0074,0.0088,0.0082,0.0067
SIM-10,0.0055,0.0065,0.0073,0.0085,0.0098,-1.0,0.0143,0.0085,0.0073,0.0068,0.2007,0.0074,0.007,0.0072,0.0065,0.5204,0.0082,0.0074,0.0062,0.0074,0.4218,0.0131,0.0086,0.0049,0.0078,0.0077,0.0089,0.0073,0.0077,0.0897
SIM-25,0.0139,0.0074,0.0067,0.0068,0.0076,0.0143,-1.0,0.0399,0.008,0.015,0.1125,0.0234,0.0079,0.0073,0.0066,0.0155,0.0507,0.0634,0.0074,0.0081,0.0258,0.2974,0.007,0.0061,0.0085,0.0058,0.0058,0.0065,0.0074,0.0507
SIM-50,0.5775,0.0068,0.0068,0.0051,0.0075,0.0085,0.0399,-1.0,0.2922,0.2295,0.0165,0.9677,0.274,0.0606,0.0083,0.0068,0.6502,0.6,0.1163,0.0319,0.0091,0.6012,0.0406,0.003,0.0048,0.0085,0.0095,0.0074,0.0073,0.0045
SIM-100,0.6309,0.0128,0.0148,0.0054,0.0064,0.0073,0.008,0.2922,-1.0,0.7462,0.0078,0.285,0.9825,0.1387,0.0112,0.0045,0.8326,0.9651,0.2972,0.0621,0.0088,0.271,0.0834,0.0038,0.0056,0.0085,0.0081,0.0074,0.0079,0.0051
SIM-Full,0.4559,0.0248,0.0176,0.0082,0.0087,0.0068,0.015,0.2295,0.7462,-1.0,0.0071,0.2143,0.7802,0.3404,0.0123,0.0045,0.6987,0.8114,0.556,0.2098,0.0071,0.2373,0.2173,0.0098,0.0083,0.0077,0.0067,0.0098,0.0081,0.0025
HPA-10,0.0046,0.0081,0.0073,0.0082,0.0075,0.2007,0.1125,0.0165,0.0078,0.0071,-1.0,0.0069,0.0083,0.0078,0.0071,0.3273,0.02,0.0164,0.0065,0.0084,0.4159,0.0485,0.0082,0.0054,0.0074,0.008,0.0072,0.009,0.0088,0.7713
HPA-25,0.6174,0.008,0.0065,0.0079,0.0097,0.0074,0.0234,0.9677,0.285,0.2143,0.0069,-1.0,0.2007,0.0614,0.0071,0.0039,0.6597,0.6234,0.0849,0.0315,0.0083,0.5691,0.0466,0.0034,0.0072,0.0071,0.0068,0.0075,0.0058,0.0022
HPA-50,0.5743,0.0105,0.0115,0.0033,0.0057,0.007,0.0079,0.274,0.9825,0.7802,0.0083,0.2007,-1.0,0.1519,0.0096,0.0064,0.7928,0.938,0.2789,0.0534,0.0062,0.2643,0.073,0.0011,0.0028,0.0079,0.007,0.0083,0.0083,0.0055
HPA-100,0.0984,0.0822,0.0379,0.0072,0.0065,0.0072,0.0073,0.0606,0.1387,0.3404,0.0078,0.0614,0.1519,-1.0,0.0534,0.0036,0.2698,0.4219,0.6866,1.0,0.0088,0.08,0.645,0.0198,0.0084,0.0088,0.0086,0.0076,0.0079,0.0025
HPA-Full,0.007,0.9331,0.4339,0.0403,0.0064,0.0065,0.0066,0.0083,0.0112,0.0123,0.0071,0.0071,0.0096,0.0534,-1.0,0.0036,0.022,0.0262,0.0399,0.0233,0.0074,0.0065,0.2967,0.233,0.007,0.0077,0.0067,0.0065,0.0067,0.0029
JUMP-10,0.0033,0.0059,0.0051,0.0066,0.0071,0.5204,0.0155,0.0068,0.0045,0.0045,0.3273,0.0039,0.0064,0.0036,0.0036,-1.0,0.0056,0.0154,0.0035,0.0057,0.7734,0.0119,0.005,0.0031,0.0051,0.0074,0.0102,0.0086,0.0077,0.1737
