,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full
STED-10,-1.0,0.0227,0.0235,0.0067,0.0015,0.0075,0.0412,0.0315,0.0561,0.7818,0.0204,0.2692,0.3054,0.9041,0.4213,0.0057,0.0387,0.044,0.072,0.6644,0.0046,0.0217,0.0457,0.0991,0.7444
STED-25,0.0227,-1.0,0.7135,0.0347,0.0069,0.0087,0.0031,0.0079,0.009,0.0075,0.0035,0.0255,0.0153,0.0062,0.008,0.0079,0.001,0.0067,0.009,0.0038,0.0055,0.0022,0.0069,0.0079,0.0086
STED-50,0.0235,0.7135,-1.0,0.1087,0.019,0.0062,0.0023,0.0084,0.0081,0.007,0.0049,0.0228,0.0158,0.0151,0.0215,0.0076,0.0008,0.0065,0.0078,0.0033,0.0044,0.0005,0.0086,0.0068,0.0084
STED-100,0.0067,0.0347,0.1087,-1.0,0.3271,0.0065,0.0011,0.0056,0.0076,0.0056,0.0032,0.0065,0.0078,0.0064,0.0057,0.0053,0.0007,0.0062,0.0054,0.0021,0.004,0.0004,0.0064,0.0078,0.0083
STED-Full,0.0015,0.0069,0.019,0.3271,-1.0,0.0054,0.0002,0.0011,0.0016,0.0033,0.0004,0.0011,0.0043,0.001,0.0014,0.001,0.0,0.0056,0.0005,0.0001,0.0002,0.0,0.0006,0.0025,0.0003
SIM-10,0.0075,0.0087,0.0062,0.0065,0.0054,-1.0,0.0237,0.0074,0.0144,0.0082,0.1044,0.0143,0.0081,0.0065,0.0066,0.8848,0.0246,0.0065,0.0084,0.0076,0.4523,0.2058,0.0161,0.0242,0.0089
SIM-25,0.0412,0.0031,0.0023,0.0011,0.0002,0.0237,-1.0,0.9046,0.5494,0.0093,0.3887,0.4467,0.1227,0.0011,0.0018,0.0079,0.801,0.7827,0.3673,0.0189,0.0082,0.2488,0.9003,0.6713,0.0427
SIM-50,0.0315,0.0079,0.0084,0.0056,0.0011,0.0074,0.9046,-1.0,0.5485,0.0045,0.3047,0.4672,0.0156,0.0074,0.0074,0.0064,0.7974,0.8463,0.1886,0.0081,0.0052,0.1692,1.0,0.756,0.008
SIM-100,0.0561,0.009,0.0081,0.0076,0.0016,0.0144,0.5494,0.5485,-1.0,0.006,0.1829,0.558,0.1276,0.007,0.0078,0.0046,0.7762,0.6226,0.6503,0.0072,0.0028,0.1393,0.6154,1.0,0.0245
SIM-Full,0.7818,0.0075,0.007,0.0056,0.0033,0.0082,0.0093,0.0045,0.006,-1.0,0.0115,0.29,0.278,0.2142,0.0086,0.0069,0.0003,0.006,0.0145,0.6425,0.0039,0.0006,0.0063,0.0436,0.9855
