,0,1,2,3,4
STED-10,0.6024590163934426,0.6639344262295082,0.5122950819672131,0.5245901639344263,0.5860655737704918
STED-25,0.5491803278688525,0.7090163934426229,0.639344262295082,0.6188524590163934,0.5778688524590164
STED-50,0.6024590163934426,0.6188524590163934,0.5819672131147541,0.6967213114754098,0.6926229508196722
STED-Full,0.5327868852459017,0.6557377049180327,0.5819672131147541,0.7008196721311475,0.6557377049180327
SIM-10,0.6639344262295082,0.6516393442622951,0.7254098360655737,0.5409836065573771,0.5409836065573771
SIM-25,0.5737704918032787,0.6721311475409836,0.5942622950819673,0.47950819672131145,0.6352459016393442
SIM-50,0.610655737704918,0.6311475409836066,0.5655737704918032,0.639344262295082,0.6188524590163934
SIM-Full,0.639344262295082,0.610655737704918,0.5163934426229508,0.6721311475409836,0.639344262295082
HPA-10,0.6188524590163934,0.5942622950819673,0.6967213114754098,0.5163934426229508,0.6352459016393442
HPA-25,0.5450819672131147,0.6967213114754098,0.6311475409836066,0.6188524590163934,0.5614754098360656
HPA-50,0.6475409836065574,0.6188524590163934,0.639344262295082,0.5901639344262295,0.5614754098360656
HPA-Full,0.5573770491803278,0.6598360655737705,0.6516393442622951,0.6065573770491803,0.639344262295082
JUMP-10,0.6557377049180327,0.5778688524590164,0.75,0.44672131147540983,0.5942622950819673
JUMP-25,0.5573770491803278,0.7131147540983607,0.610655737704918,0.639344262295082,0.5860655737704918
JUMP-50,0.6229508196721312,0.5245901639344263,0.680327868852459,0.6598360655737705,0.6434426229508197
JUMP-Full,0.5819672131147541,0.7172131147540983,0.5737704918032787,0.6065573770491803,0.6311475409836066
ImageNet-10,0.6188524590163934,0.4918032786885246,0.6926229508196722,0.5163934426229508,0.6229508196721312
ImageNet-25,0.5368852459016393,0.7090163934426229,0.6721311475409836,0.610655737704918,0.5409836065573771
ImageNet-50,0.6680327868852459,0.6147540983606558,0.5778688524590164,0.680327868852459,0.5655737704918032
ImageNet-Full,0.6680327868852459,0.6024590163934426,0.680327868852459,0.5901639344262295,0.5901639344262295
from-scratch-10,0.3975409836065574,0.6557377049180327,0.5327868852459017,0.5491803278688525,0.5860655737704918
from-scratch-25,0.5327868852459017,0.5614754098360656,0.5573770491803278,0.569672131147541,0.6065573770491803
from-scratch-50,0.5409836065573771,0.47540983606557374,0.5737704918032787,0.5245901639344263,0.5368852459016393
from-scratch-Full,0.5614754098360656,0.5614754098360656,0.5327868852459017,0.5614754098360656,0.47540983606557374
