,0,1,2,3,4
STED-10,0.6270491803278688,0.48360655737704916,0.680327868852459,0.7090163934426229,0.6844262295081968
STED-25,0.7254098360655737,0.6516393442622951,0.6885245901639344,0.6680327868852459,0.6475409836065574
STED-50,0.7090163934426229,0.6885245901639344,0.6598360655737705,0.6598360655737705,0.6721311475409836
STED-Full,0.7295081967213115,0.5860655737704918,0.680327868852459,0.6680327868852459,0.6680327868852459
SIM-10,0.6598360655737705,0.45901639344262296,0.6147540983606558,0.7336065573770492,0.6557377049180327
SIM-25,0.6311475409836066,0.5819672131147541,0.6270491803278688,0.639344262295082,0.5901639344262295
SIM-50,0.6680327868852459,0.6557377049180327,0.6270491803278688,0.6147540983606558,0.639344262295082
SIM-Full,0.6680327868852459,0.5614754098360656,0.6680327868852459,0.6516393442622951,0.6352459016393442
HPA-10,0.6598360655737705,0.45081967213114754,0.6311475409836066,0.6680327868852459,0.5368852459016393
HPA-25,0.6721311475409836,0.6434426229508197,0.5860655737704918,0.5860655737704918,0.6844262295081968
HPA-50,0.7049180327868853,0.680327868852459,0.6065573770491803,0.5573770491803278,0.6885245901639344
HPA-Full,0.6639344262295082,0.5901639344262295,0.7172131147540983,0.6680327868852459,0.6270491803278688
JUMP-10,0.639344262295082,0.47540983606557374,0.6024590163934426,0.6926229508196722,0.5368852459016393
JUMP-25,0.7172131147540983,0.5819672131147541,0.5655737704918032,0.5819672131147541,0.5614754098360656
JUMP-50,0.6188524590163934,0.639344262295082,0.6229508196721312,0.610655737704918,0.6516393442622951
JUMP-Full,0.6024590163934426,0.5286885245901639,0.6926229508196722,0.6188524590163934,0.6147540983606558
ImageNet-10,0.5122950819672131,0.4180327868852459,0.48770491803278687,0.5614754098360656,0.4385245901639344
ImageNet-25,0.5573770491803278,0.5778688524590164,0.5081967213114754,0.5,0.45081967213114754
ImageNet-50,0.5901639344262295,0.5245901639344263,0.6188524590163934,0.6065573770491803,0.5860655737704918
ImageNet-Full,0.5737704918032787,0.5532786885245902,0.5860655737704918,0.5327868852459017,0.5450819672131147
