,STED-10,STED-25,STED-50,STED-Full,SIM-10,SIM-25,SIM-50,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-Full
STED-10,-1.0,0.4766,0.4154,0.5827,0.8149,0.655,0.9619,1.0,0.4088,0.9711,0.8747,0.8114,0.3899,0.464,0.919,0.5925,0.0257,0.0463,0.3164,0.0915
STED-25,0.4766,-1.0,0.9245,0.782,0.3717,0.0016,0.073,0.1462,0.0717,0.1388,0.4067,0.4143,0.0577,0.0364,0.0146,0.0461,0.0009,0.0033,0.002,0.0013
STED-50,0.4154,0.9245,-1.0,0.7253,0.2884,0.0004,0.0242,0.0541,0.0268,0.0978,0.3935,0.3274,0.0417,0.0374,0.0017,0.0305,0.0004,0.0009,0.0011,0.0008
STED-Full,0.5827,0.782,0.7253,-1.0,0.481,0.0918,0.3438,0.3255,0.1355,0.3666,0.6341,0.6194,0.1212,0.1289,0.1578,0.136,0.0021,0.0052,0.03,0.0049
SIM-10,0.8149,0.3717,0.2884,0.481,-1.0,0.8216,0.8076,0.8044,0.6303,0.8955,0.7193,0.6601,0.5705,0.71,0.9691,0.795,0.028,0.0821,0.4666,0.2144
SIM-25,0.655,0.0016,0.0004,0.0918,0.8216,-1.0,0.1198,0.3021,0.6153,0.3608,0.2855,0.153,0.5997,0.8229,0.3172,0.9404,0.0044,0.0077,0.2072,0.0122
SIM-50,0.9619,0.073,0.0242,0.3438,0.8076,0.1198,-1.0,0.8862,0.3508,0.7947,0.834,0.6628,0.2709,0.2548,0.3232,0.3443,0.0012,0.0072,0.0142,0.0044
SIM-Full,1.0,0.1462,0.0541,0.3255,0.8044,0.3021,0.8862,-1.0,0.3367,0.9592,0.7614,0.5821,0.3157,0.2964,0.7801,0.4508,0.0119,0.0153,0.0753,0.0224
HPA-10,0.4088,0.0717,0.0268,0.1355,0.6303,0.6153,0.3508,0.3367,-1.0,0.3776,0.293,0.2273,1.0,0.8402,0.4483,0.6769,0.0663,0.1769,0.9437,0.5349
HPA-25,0.9711,0.1388,0.0978,0.3666,0.8955,0.3608,0.7947,0.9592,0.3776,-1.0,0.6858,0.546,0.3479,0.3977,0.7972,0.4957,0.0033,0.0056,0.1178,0.0145
HPA-50,0.8747,0.4067,0.3935,0.6341,0.7193,0.2855,0.834,0.7614,0.293,0.6858,-1.0,0.8898,0.2476,0.3341,0.5389,0.3086,0.0095,0.0145,0.0944,0.0174
HPA-Full,0.8114,0.4143,0.3274,0.6194,0.6601,0.153,0.6628,0.5821,0.2273,0.546,0.8898,-1.0,0.2055,0.1864,0.3359,0.2648,0.0021,0.0087,0.0418,0.0053
JUMP-10,0.3899,0.0577,0.0417,0.1212,0.5705,0.5997,0.2709,0.3157,1.0,0.3479,0.2476,0.2055,-1.0,0.8013,0.3633,0.6807,0.0489,0.1488,0.9443,0.461
JUMP-25,0.464,0.0364,0.0374,0.1289,0.71,0.8229,0.2548,0.2964,0.8402,0.3977,0.3341,0.1864,0.8013,-1.0,0.4202,0.8174,0.0046,0.0337,0.7497,0.1275
JUMP-50,0.919,0.0146,0.0017,0.1578,0.9691,0.3172,0.3232,0.7801,0.4483,0.7972,0.5389,0.3359,0.3633,0.4202,-1.0,0.5658,0.0023,0.0064,0.025,0.0048
JUMP-Full,0.5925,0.0461,0.0305,0.136,0.795,0.9404,0.3443,0.4508,0.6769,0.4957,0.3086,0.2648,0.6807,0.8174,0.5658,-1.0,0.015,0.0338,0.3756,0.0873
ImageNet-10,0.0257,0.0009,0.0004,0.0021,0.028,0.0044,0.0012,0.0119,0.0663,0.0033,0.0095,0.0021,0.0489,0.0046,0.0023,0.015,-1.0,0.2823,0.0112,0.0268
ImageNet-25,0.0463,0.0033,0.0009,0.0052,0.0821,0.0077,0.0072,0.0153,0.1769,0.0056,0.0145,0.0087,0.1488,0.0337,0.0064,0.0338,0.2823,-1.0,0.0479,0.1694
ImageNet-50,0.3164,0.002,0.0011,0.03,0.4666,0.2072,0.0142,0.0753,0.9437,0.1178,0.0944,0.0418,0.9443,0.7497,0.025,0.3756,0.0112,0.0479,-1.0,0.1938
ImageNet-Full,0.0915,0.0013,0.0008,0.0049,0.2144,0.0122,0.0044,0.0224,0.5349,0.0145,0.0174,0.0053,0.461,0.1275,0.0048,0.0873,0.0268,0.1694,0.1938,-1.0
