,0,1,2,3,4
STED-10,0.8354430379746836,0.9240506329113924,0.810126582278481,0.8481012658227848,0.7974683544303798
STED-25,0.9367088607594937,0.8734177215189873,0.8734177215189873,0.8860759493670886,0.8987341772151899
STED-50,0.9493670886075949,0.8987341772151899,0.9240506329113924,0.9620253164556962,0.9493670886075949
STED-100,0.9746835443037974,0.9113924050632911,0.9493670886075949,0.9746835443037974,0.9367088607594937
STED-Full,0.9367088607594937,0.9746835443037974,0.9493670886075949,0.9493670886075949,0.9493670886075949
SIM-10,0.7974683544303798,0.7848101265822784,0.7848101265822784,0.8227848101265823,0.8607594936708861
SIM-25,0.8354430379746836,0.7721518987341772,0.8860759493670886,0.8860759493670886,0.8734177215189873
SIM-50,0.8860759493670886,0.8860759493670886,0.8734177215189873,0.8607594936708861,0.8734177215189873
SIM-100,0.8987341772151899,0.8481012658227848,0.8227848101265823,0.8987341772151899,0.8607594936708861
SIM-Full,0.8987341772151899,0.8987341772151899,0.8987341772151899,0.9240506329113924,0.8987341772151899
HPA-10,0.8860759493670886,0.8987341772151899,0.7468354430379747,0.8987341772151899,0.9620253164556962
HPA-25,0.8860759493670886,0.8734177215189873,0.9746835443037974,0.9113924050632911,0.9367088607594937
HPA-50,0.9113924050632911,0.9493670886075949,0.9113924050632911,0.8987341772151899,0.9240506329113924
HPA-100,0.8607594936708861,0.8734177215189873,0.8860759493670886,0.9240506329113924,0.9113924050632911
HPA-Full,0.9113924050632911,0.9367088607594937,0.8987341772151899,0.9367088607594937,0.9240506329113924
JUMP-10,0.810126582278481,0.8734177215189873,0.7974683544303798,0.8734177215189873,0.8734177215189873
JUMP-25,0.8607594936708861,0.8354430379746836,0.8987341772151899,0.8860759493670886,0.8860759493670886
JUMP-50,0.8860759493670886,0.8607594936708861,0.9113924050632911,0.8734177215189873,0.8987341772151899
JUMP-100,0.8860759493670886,0.8481012658227848,0.8860759493670886,0.9240506329113924,0.9113924050632911
JUMP-Full,0.9113924050632911,0.9240506329113924,0.9240506329113924,0.9493670886075949,0.8987341772151899
ImageNet-10,0.8987341772151899,0.810126582278481,0.8227848101265823,0.8607594936708861,0.7974683544303798
ImageNet-25,0.8860759493670886,0.9113924050632911,0.8607594936708861,0.8607594936708861,0.9240506329113924
ImageNet-50,0.9367088607594937,0.8481012658227848,0.9493670886075949,0.8987341772151899,0.9367088607594937
ImageNet-100,0.9367088607594937,0.9113924050632911,0.9620253164556962,0.9493670886075949,0.9367088607594937
ImageNet-Full,0.9493670886075949,0.9493670886075949,0.9493670886075949,0.9367088607594937,0.9367088607594937
from-scratch-10,0.7341772151898734,0.6708860759493671,0.7721518987341772,0.6835443037974683,0.7341772151898734
from-scratch-25,0.6582278481012658,0.7088607594936709,0.620253164556962,0.8227848101265823,0.759493670886076
from-scratch-50,0.7088607594936709,0.7215189873417721,0.7341772151898734,0.759493670886076,0.6835443037974683
from-scratch-100,0.7341772151898734,0.7468354430379747,0.6582278481012658,0.7974683544303798,0.759493670886076
from-scratch-Full,0.759493670886076,0.7341772151898734,0.759493670886076,0.7088607594936709,0.7215189873417721
