,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
STED-10,-1.0,0.1029,0.0227,0.0174,0.0074,0.2981,0.8961,0.2151,0.4706,0.0458,0.4426,0.0459,0.0393,0.1089,0.0292,0.9815,0.2895,0.1163,0.1368,0.0229,0.9057,0.1169,0.0507,0.0154,0.0035,0.0071,0.0195,0.007,0.005,0.0006
STED-25,0.1029,-1.0,0.0397,0.0219,0.0145,0.0065,0.1507,0.3052,0.2276,0.503,0.8351,0.3606,0.1538,0.9456,0.1194,0.0812,0.3377,0.7595,0.9724,0.0726,0.0625,0.8803,0.4179,0.0322,0.0065,0.0072,0.0081,0.0078,0.0035,0.0014
STED-50,0.0227,0.0397,-1.0,0.5436,0.4028,0.0073,0.0043,0.0083,0.0221,0.0821,0.1383,0.3772,0.2903,0.0326,0.3292,0.0071,0.0137,0.0222,0.0375,0.4038,0.0165,0.0413,0.3331,1.0,0.6059,0.0074,0.0076,0.0074,0.0019,0.0008
STED-100,0.0174,0.0219,0.5436,-1.0,0.9127,0.0085,0.0052,0.0072,0.0067,0.015,0.0702,0.2068,0.1107,0.0196,0.1207,0.0078,0.0093,0.0157,0.0245,0.1291,0.0088,0.0233,0.1426,0.4825,0.9094,0.0058,0.0073,0.0077,0.0047,0.0038
STED-Full,0.0074,0.0145,0.4028,0.9127,-1.0,0.0098,0.0059,0.008,0.0075,0.0087,0.0385,0.1225,0.0355,0.0043,0.0179,0.0075,0.0082,0.0078,0.0084,0.0404,0.0079,0.0085,0.0547,0.2745,0.6072,0.0076,0.0074,0.0088,0.0033,0.003
SIM-10,0.2981,0.0065,0.0073,0.0085,0.0098,-1.0,0.1854,0.013,0.0538,0.0068,0.1319,0.0082,0.007,0.0162,0.0077,0.1738,0.0218,0.0093,0.0166,0.0039,0.3076,0.0172,0.016,0.0085,0.0058,0.0044,0.0563,0.0042,0.0184,0.0014
SIM-25,0.8961,0.1507,0.0043,0.0052,0.0059,0.1854,-1.0,0.3506,0.6051,0.0063,0.4974,0.0634,0.0057,0.1483,0.0057,0.9064,0.4359,0.1394,0.1565,0.0004,0.7354,0.1506,0.0528,0.0066,0.0022,0.0163,0.0161,0.009,0.0128,0.0023
SIM-50,0.2151,0.3052,0.0083,0.0072,0.008,0.013,0.3506,-1.0,0.597,0.0072,0.9767,0.0951,0.0074,0.3768,0.0084,0.2095,0.9376,0.3573,0.4049,0.0004,0.117,0.3905,0.109,0.0079,0.0041,0.0059,0.0078,0.006,0.0009,0.0008
SIM-100,0.4706,0.2276,0.0221,0.0067,0.0075,0.0538,0.6051,0.597,-1.0,0.1198,0.8049,0.0877,0.0249,0.2536,0.027,0.441,0.7863,0.261,0.277,0.0011,0.3296,0.2598,0.1253,0.0099,0.0033,0.0085,0.0156,0.0074,0.0028,0.002
SIM-Full,0.0458,0.503,0.0821,0.015,0.0087,0.0068,0.0063,0.0072,0.1198,-1.0,0.6719,0.6404,0.2431,0.3777,0.125,0.008,0.039,0.1881,0.4867,0.0497,0.0406,0.3812,0.7294,0.0161,0.0037,0.0077,0.0067,0.0098,0.0024,0.0014
