,0,1,2,3,4
STED-10,0.7088607594936709,0.810126582278481,0.7721518987341772,0.810126582278481,0.8734177215189873
STED-25,0.8607594936708861,0.759493670886076,0.8354430379746836,0.8987341772151899,0.8734177215189873
STED-50,0.9113924050632911,0.8987341772151899,0.810126582278481,0.8481012658227848,0.9367088607594937
STED-100,0.8860759493670886,0.8734177215189873,0.9240506329113924,0.9113924050632911,0.9240506329113924
STED-Full,0.8987341772151899,0.8607594936708861,0.8481012658227848,0.9113924050632911,0.8860759493670886
SIM-10,0.7974683544303798,0.759493670886076,0.810126582278481,0.7468354430379747,0.7848101265822784
SIM-25,0.8227848101265823,0.8860759493670886,0.8481012658227848,0.8227848101265823,0.8227848101265823
SIM-50,0.8734177215189873,0.8227848101265823,0.8481012658227848,0.8227848101265823,0.810126582278481
SIM-100,0.8354430379746836,0.9113924050632911,0.8987341772151899,0.8734177215189873,0.8734177215189873
SIM-Full,0.8860759493670886,0.8734177215189873,0.8227848101265823,0.8354430379746836,0.8734177215189873
HPA-10,0.7848101265822784,0.8481012658227848,0.9113924050632911,0.7848101265822784,0.7848101265822784
HPA-25,0.8481012658227848,0.8227848101265823,0.759493670886076,0.8734177215189873,0.8481012658227848
HPA-50,0.8481012658227848,0.8987341772151899,0.8860759493670886,0.7848101265822784,0.8860759493670886
HPA-100,0.7974683544303798,0.8481012658227848,0.8734177215189873,0.9367088607594937,0.7848101265822784
HPA-Full,0.8734177215189873,0.7974683544303798,0.810126582278481,0.8860759493670886,0.8354430379746836
JUMP-10,0.7088607594936709,0.7721518987341772,0.8607594936708861,0.6708860759493671,0.8481012658227848
JUMP-25,0.7848101265822784,0.8481012658227848,0.8860759493670886,0.8607594936708861,0.8481012658227848
JUMP-50,0.7468354430379747,0.8607594936708861,0.7848101265822784,0.7848101265822784,0.8734177215189873
JUMP-100,0.9113924050632911,0.8607594936708861,0.8987341772151899,0.8987341772151899,0.8734177215189873
JUMP-Full,0.759493670886076,0.8860759493670886,0.8481012658227848,0.8734177215189873,0.8860759493670886
ImageNet-10,0.8987341772151899,0.7721518987341772,0.7848101265822784,0.7468354430379747,0.8354430379746836
ImageNet-25,0.8607594936708861,0.810126582278481,0.7848101265822784,0.8987341772151899,0.8481012658227848
ImageNet-50,0.8987341772151899,0.9367088607594937,0.8987341772151899,0.7088607594936709,0.8860759493670886
ImageNet-100,0.8227848101265823,0.9113924050632911,0.8734177215189873,0.8860759493670886,0.8860759493670886
ImageNet-Full,0.8734177215189873,0.9240506329113924,0.9113924050632911,0.8607594936708861,0.8481012658227848
