,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full,from-scratch-10,from-scratch-25,from-scratch-50,from-scratch-100,from-scratch-Full
STED-10,-1.0,0.2046,0.0553,0.0133,0.0199,0.6888,0.1839,0.2477,0.0293,0.0537,0.4966,0.3571,0.1096,0.22,0.2435,0.644,0.1701,0.6863,0.0255,0.1447,0.7968,0.2598,0.1846,0.024,0.0294,0.0584,0.1465,0.0549,0.1522,0.0656
STED-25,0.2046,-1.0,0.3505,0.0449,0.2482,0.0448,0.909,0.7624,0.3053,0.7712,0.5074,0.6088,0.6677,0.973,0.8067,0.1498,0.9539,0.3565,0.1593,0.8502,0.3252,0.8013,0.666,0.3752,0.2379,0.0139,0.0181,0.01,0.0135,0.0021
STED-50,0.0553,0.3505,-1.0,0.3847,0.9453,0.0169,0.1856,0.1386,1.0,0.441,0.1244,0.1619,0.5716,0.4137,0.1709,0.0521,0.2306,0.0824,0.7774,0.4251,0.0834,0.1809,0.8013,0.8749,0.8813,0.008,0.0175,0.008,0.0043,0.0043
STED-100,0.0133,0.0449,0.3847,-1.0,0.2138,0.0071,0.0205,0.0124,0.1954,0.0445,0.0381,0.0117,0.0993,0.1284,0.0125,0.0058,0.0123,0.0145,0.3026,0.0682,0.0227,0.0187,0.5786,0.1061,0.3148,0.005,0.0061,0.0063,0.0023,0.0012
STED-Full,0.0199,0.2482,0.9453,0.2138,-1.0,0.0087,0.0511,0.0326,0.9406,0.2102,0.0844,0.0462,0.4563,0.3298,0.07,0.0247,0.0712,0.0535,0.7223,0.3537,0.0522,0.0931,0.8996,0.7105,0.9382,0.0047,0.0053,0.0063,0.0016,0.001
SIM-10,0.6888,0.0448,0.0169,0.0071,0.0087,-1.0,0.0094,0.0151,0.0072,0.0068,0.2035,0.0758,0.0316,0.055,0.0416,0.8523,0.0286,0.3291,0.0075,0.0296,0.4466,0.0557,0.0796,0.0085,0.0071,0.0217,0.1299,0.0195,0.1053,0.026
SIM-25,0.1839,0.909,0.1856,0.0205,0.0511,0.0094,-1.0,0.8376,0.0972,0.4288,0.5165,0.7323,0.476,0.8185,0.9268,0.154,0.9841,0.315,0.0295,0.7679,0.3319,0.8957,0.6556,0.1835,0.0708,0.0093,0.0318,0.009,0.0029,0.0011
SIM-50,0.2477,0.7624,0.1386,0.0124,0.0326,0.0151,0.8376,-1.0,0.0544,0.2634,0.7198,0.9483,0.3625,0.703,0.8977,0.1815,0.6966,0.4113,0.0273,0.553,0.4079,0.9103,0.5605,0.0899,0.0462,0.0085,0.0343,0.0074,0.0012,0.0011
SIM-100,0.0293,0.3053,1.0,0.1954,0.9406,0.0072,0.0972,0.0544,-1.0,0.3146,0.0877,0.0778,0.5371,0.3861,0.0974,0.0311,0.1375,0.0647,0.6724,0.4299,0.0696,0.1109,0.9264,0.8037,0.8426,0.0073,0.0073,0.0068,0.0019,0.0014
SIM-Full,0.0537,0.7712,0.441,0.0445,0.2102,0.0068,0.4288,0.2634,0.3146,-1.0,0.276,0.3239,0.9866,0.8,0.3558,0.0885,0.5688,0.1286,0.11,0.9002,0.1341,0.4327,0.8994,0.447,0.2365,0.0077,0.014,0.0098,0.0033,0.0019
HPA-10,0.4966,0.5074,0.1244,0.0381,0.0844,0.2035,0.5165,0.7198,0.0877,0.276,-1.0,0.877,0.3313,0.4671,0.625,0.32,0.5145,0.757,0.0716,0.3991,0.6979,0.6076,0.403,0.1226,0.0701,0.007,0.0562,0.0079,0.0237,0.0013
HPA-25,0.3571,0.6088,0.1619,0.0117,0.0462,0.0758,0.7323,0.9483,0.0778,0.3239,0.877,-1.0,0.3428,0.63,0.7724,0.2416,0.6,0.5599,0.0226,0.4558,0.544,0.7764,0.4764,0.1006,0.0609,0.0171,0.0389,0.0183,0.0147,0.0058
HPA-50,0.1096,0.6677,0.5716,0.0993,0.4563,0.0316,0.476,0.3625,0.5371,0.9866,0.3313,0.3428,-1.0,0.7582,0.4276,0.0766,0.5254,0.1704,0.3146,0.7519,0.1961,0.458,0.9246,0.6339,0.4316,0.0079,0.0143,0.0083,0.0092,0.0006
HPA-100,0.22,0.973,0.4137,0.1284,0.3298,0.055,0.8185,0.703,0.3861,0.8,0.4671,0.63,0.7582,-1.0,0.7807,0.1219,0.8738,0.3463,0.2372,0.9556,0.3203,0.7848,0.7699,0.4176,0.3315,0.0027,0.0244,0.0024,0.0087,0.0005
HPA-Full,0.2435,0.8067,0.1709,0.0125,0.07,0.0416,0.9268,0.8977,0.0974,0.3558,0.625,0.7724,0.4276,0.7807,-1.0,0.164,0.8691,0.3619,0.0338,0.6511,0.3618,1.0,0.5605,0.1244,0.081,0.0086,0.0237,0.0076,0.0138,0.0072
JUMP-10,0.644,0.1498,0.0521,0.0058,0.0247,0.8523,0.154,0.1815,0.0311,0.0885,0.32,0.2416,0.0766,0.1219,0.164,-1.0,0.1386,0.4023,0.0148,0.0933,0.4923,0.1634,0.12,0.0484,0.0263,0.2655,0.3129,0.2749,0.4352,0.3566
JUMP-25,0.1701,0.9539,0.2306,0.0123,0.0712,0.0286,0.9841,0.6966,0.1375,0.5688,0.5145,0.6,0.5254,0.8738,0.8691,0.1386,-1.0,0.3317,0.0323,0.7485,0.2984,0.9096,0.6406,0.2043,0.1145,0.0075,0.0167,0.0078,0.014,0.0062
JUMP-50,0.6863,0.3565,0.0824,0.0145,0.0535,0.3291,0.315,0.4113,0.0647,0.1286,0.757,0.5599,0.1704,0.3463,0.3619,0.4023,0.3317,-1.0,0.0382,0.3013,0.9652,0.3992,0.3065,0.0627,0.0667,0.014,0.0745,0.0151,0.0772,0.0166
JUMP-100,0.0255,0.1593,0.7774,0.3026,0.7223,0.0075,0.0295,0.0273,0.6724,0.11,0.0716,0.0226,0.3146,0.2372,0.0338,0.0148,0.0323,0.0382,-1.0,0.1913,0.0505,0.0347,0.8856,0.5017,0.9074,0.0096,0.0088,0.009,0.0048,0.0035
JUMP-Full,0.1447,0.8502,0.4251,0.0682,0.3537,0.0296,0.7679,0.553,0.4299,0.9002,0.3991,0.4558,0.7519,0.9556,0.6511,0.0933,0.7485,0.3013,0.1913,-1.0,0.258,0.7049,0.7024,0.5257,0.3343,0.0091,0.0107,0.0038,0.0087,0.0009
ImageNet-10,0.7968,0.3252,0.0834,0.0227,0.0522,0.4466,0.3319,0.4079,0.0696,0.1341,0.6979,0.544,0.1961,0.3203,0.3618,0.4923,0.2984,0.9652,0.0505,0.258,-1.0,0.3723,0.289,0.079,0.0506,0.0225,0.0844,0.0164,0.0866,0.0207
ImageNet-25,0.2598,0.8013,0.1809,0.0187,0.0931,0.0557,0.8957,0.9103,0.1109,0.4327,0.6076,0.7764,0.458,0.7848,1.0,0.1634,0.9096,0.3992,0.0347,0.7049,0.3723,-1.0,0.5614,0.1578,0.0886,0.0068,0.0203,0.0072,0.0145,0.0075
ImageNet-50,0.1846,0.666,0.8013,0.5786,0.8996,0.0796,0.6556,0.5605,0.9264,0.8994,0.403,0.4764,0.9246,0.7699,0.5605,0.12,0.6406,0.3065,0.8856,0.7024,0.289,0.5614,-1.0,0.9419,0.8567,0.031,0.0324,0.0386,0.0336,0.0367
ImageNet-100,0.024,0.3752,0.8749,0.1061,0.7105,0.0085,0.1835,0.0899,0.8037,0.447,0.1226,0.1006,0.6339,0.4176,0.1244,0.0484,0.2043,0.0627,0.5017,0.5257,0.079,0.1578,0.9419,-1.0,0.635,0.0089,0.0149,0.0095,0.0066,0.0054
