,STED-10,STED-25,STED-50,STED-100,STED-Full,SIM-10,SIM-25,SIM-50,SIM-100,SIM-Full,HPA-10,HPA-25,HPA-50,HPA-100,HPA-Full,JUMP-10,JUMP-25,JUMP-50,JUMP-100,JUMP-Full,ImageNet-10,ImageNet-25,ImageNet-50,ImageNet-100,ImageNet-Full
STED-10,-1.0,0.1964,0.056,0.0126,0.0222,0.6813,0.1865,0.2436,0.0318,0.0536,0.4975,0.3603,0.1127,0.2246,0.2334,0.6553,0.1658,0.6795,0.0224,0.1515,0.7972,0.2645,0.1817,0.0259,0.0253
STED-25,0.1964,-1.0,0.35,0.0451,0.2439,0.0482,0.9044,0.7555,0.2995,0.7713,0.515,0.6003,0.6628,0.9733,0.803,0.1364,0.9506,0.3586,0.1695,0.8524,0.3222,0.8028,0.6663,0.3877,0.2404
STED-50,0.056,0.35,-1.0,0.3761,0.9498,0.0143,0.1794,0.1353,1.0,0.4408,0.126,0.1536,0.5661,0.4213,0.172,0.055,0.2348,0.0784,0.7845,0.4206,0.079,0.1833,0.8024,0.8753,0.882
STED-100,0.0126,0.0451,0.3761,-1.0,0.2166,0.0056,0.0217,0.0102,0.2015,0.0405,0.0323,0.0117,0.0947,0.1232,0.0089,0.0051,0.012,0.0131,0.3056,0.0648,0.0229,0.0197,0.5886,0.1016,0.3245
STED-Full,0.0222,0.2439,0.9498,0.2166,-1.0,0.0075,0.0523,0.0328,0.9409,0.2159,0.0817,0.0426,0.4496,0.3292,0.0759,0.0207,0.0758,0.0524,0.7215,0.358,0.0479,0.0961,0.8953,0.7125,0.9365
SIM-10,0.6813,0.0482,0.0143,0.0056,0.0075,-1.0,0.0074,0.0143,0.008,0.0094,0.2081,0.0782,0.0308,0.0539,0.0366,0.8484,0.0318,0.3211,0.0084,0.0319,0.4537,0.0552,0.0808,0.0081,0.0082
SIM-25,0.1865,0.9044,0.1794,0.0217,0.0523,0.0074,-1.0,0.8338,0.0974,0.4369,0.5082,0.7348,0.4839,0.8101,0.9318,0.1521,0.9834,0.3108,0.0345,0.7711,0.3286,0.9017,0.6588,0.1781,0.0722
SIM-50,0.2436,0.7555,0.1353,0.0102,0.0328,0.0143,0.8338,-1.0,0.0547,0.2611,0.7211,0.9495,0.3635,0.704,0.8926,0.1822,0.7066,0.4152,0.0228,0.5731,0.4146,0.9126,0.5648,0.088,0.0476
SIM-100,0.0318,0.2995,1.0,0.2015,0.9409,0.008,0.0974,0.0547,-1.0,0.3101,0.0929,0.0737,0.5594,0.3857,0.1013,0.0319,0.1366,0.0606,0.6647,0.4371,0.0663,0.1132,0.9257,0.7967,0.8513
SIM-Full,0.0536,0.7713,0.4408,0.0405,0.2159,0.0094,0.4369,0.2611,0.3101,-1.0,0.2806,0.326,0.9873,0.8077,0.361,0.0885,0.5694,0.1233,0.1115,0.8994,0.1395,0.426,0.8913,0.4456,0.233
HPA-10,0.4975,0.515,0.126,0.0323,0.0817,0.2081,0.5082,0.7211,0.0929,0.2806,-1.0,0.8799,0.3353,0.4733,0.6151,0.3364,0.5133,0.7559,0.0666,0.3975,0.7042,0.6009,0.4008,0.1193,0.0679
HPA-25,0.3603,0.6003,0.1536,0.0117,0.0426,0.0782,0.7348,0.9495,0.0737,0.326,0.8799,-1.0,0.3549,0.62,0.7774,0.2372,0.6051,0.5658,0.0225,0.4535,0.546,0.7821,0.4752,0.1063,0.0696
HPA-50,0.1127,0.6628,0.5661,0.0947,0.4496,0.0308,0.4839,0.3635,0.5594,0.9873,0.3353,0.3549,-1.0,0.7651,0.432,0.0778,0.522,0.1693,0.3338,0.7465,0.192,0.463,0.9267,0.6249,0.4259
HPA-100,0.2246,0.9733,0.4213,0.1232,0.3292,0.0539,0.8101,0.704,0.3857,0.8077,0.4733,0.62,0.7651,-1.0,0.782,0.1223,0.8751,0.3397,0.2346,0.958,0.3143,0.7818,0.7761,0.423,0.3335
HPA-Full,0.2334,0.803,0.172,0.0089,0.0759,0.0366,0.9318,0.8926,0.1013,0.361,0.6151,0.7774,0.432,0.782,-1.0,0.1532,0.8739,0.3654,0.0325,0.6649,0.3655,1.0,0.5704,0.1178,0.0858
JUMP-10,0.6553,0.1364,0.055,0.0051,0.0207,0.8484,0.1521,0.1822,0.0319,0.0885,0.3364,0.2372,0.0778,0.1223,0.1532,-1.0,0.1439,0.4055,0.0142,0.0901,0.4802,0.1667,0.1172,0.047,0.0287
JUMP-25,0.1658,0.9506,0.2348,0.012,0.0758,0.0318,0.9834,0.7066,0.1366,0.5694,0.5133,0.6051,0.522,0.8751,0.8739,0.1439,-1.0,0.3369,0.0283,0.7432,0.2998,0.9111,0.6425,0.2108,0.1105
JUMP-50,0.6795,0.3586,0.0784,0.0131,0.0524,0.3211,0.3108,0.4152,0.0606,0.1233,0.7559,0.5658,0.1693,0.3397,0.3654,0.4055,0.3369,-1.0,0.0393,0.3002,0.9672,0.3895,0.3055,0.0632,0.0636
